epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0000135898590088, 0, 0], [0, 0, 0], [1.000030517578125, 0, 0], [0, 0, 0]]","[[0.9999837279319763, 0, 0], [0, 0, 0], [0.9999610185623169, 0, 0], [0, 0, 0]]","[[0.0025898405300463882, 0.016234999468037994, 0.018717839490069513], [0.004805288500589687, 9.003721004965442e-08, 9.004543259754661e-08], [0.0021360701174603027, 0.007358282071385877, 0.010641954992247274], [0.09036784012622542, 0.0539872067110771, 0.054981868883961796]]","[[0.0025010331849724104, 0.029309535536692712, 0.05104585665772509], [0.08039116367363948, 0.1411079083779455, 0.15403119609204605], [0.0025897936429559944, 0.02981268366096932, 0.045801808799012834], [0.0743081614439052, 0.127268732824033, 0.14803744042480677]]"
1,"[[1.3493412733078003, 0, 0], [0.08724375069141388, 0, 0], [1.7449766397476196, 0, 0], [1.0663366317749023, 0, 0]]","[[0.7499918937683105, 0, 0], [0, 0, 0], [0.4298747777938843, 0, 0], [0.8720311522483826, 0, 0]]","[[0.04117372294336258, 0.02672760987856434, 0.034011196720133814], [9.005626030178026e-08, 9.004485709199653e-08, 9.004240863894253e-08], [0.03857259651891898, 0.023938585466003186, 0.025680325263672577], [0.008318381671708482, 0.00672957818189785, 0.007009621803863831]]","[[0.02462688707905848, 0.0405221669699949, 0.05662284059759313], [0.07939519290883539, 0.139818226224609, 0.15404795200264726], [0.031019666131011144, 0.044263123453015786, 0.05889306505130361], [0.02746546224456064, 0.06457113881270682, 0.0721440179776813]]"
2,"[[1.4008545875549316, 0, 0], [0.08724375069141388, 0, 0], [1.9357999563217163, 0, 0], [1.0687512159347534, 0, 0]]","[[0.7118409872055054, 0, 0], [0, 0, 0], [0.2108597755432129, 0, 0], [0.8671315312385559, 0, 0]]","[[0.04210174663355667, 0.029299073080648264, 0.031966993054397506], [9.005626109352987e-08, 9.003922181894584e-08, 9.004573893599953e-08], [0.03971230254173401, 0.026131949241196932, 0.028209044871713634], [0.008290244767318902, 0.006385908252488949, 0.007596554912424676]]","[[0.023192338233767405, 0.04653271542359784, 0.05853086671036677], [0.0845719314187529, 0.1407520391971585, 0.15478510350931932], [0.031105161006228347, 0.048428283727405014, 0.06496586953447446], [0.025588820460897315, 0.06490875414342044, 0.07657081711060622]]"
3,"[[1.4397320747375488, 0, 0], [0.08724375069141388, 0, 0], [2.0118253231048584, 0, 0], [1.0721864700317383, 0, 0]]","[[0.7315792441368103, 0, 0], [0, 0, 0], [0.23111139237880707, 0, 0], [0.8615593314170837, 0, 0]]","[[0.03474279586305646, 0.03827940476838724, 0.039073381730025794], [9.375963771764294e-08, 9.00483265898672e-08, 9.003740008958138e-08], [0.0383014421020686, 0.023262895858414817, 0.026268590610487308], [0.006246316204137581, 0.007040632123400671, 0.006538980754556381]]","[[0.02552724148736978, 0.041481463869404496, 0.061054538862295574], [0.07772071108104783, 0.1410429363654586, 0.15579215773040017], [0.03389608058306834, 0.054371604973452406, 0.062088016425956245], [0.026965682223767416, 0.05989506635725427, 0.07778836296288316]]"
4,"[[1.4557151794433594, 0, 0], [0.08724375069141388, 0, 0], [2.0305519104003906, 0, 0], [1.1008563041687012, 0, 0]]","[[0.7586377263069153, 0, 0], [0, 0, 0], [0.247762992978096, 0, 0], [0.8823404908180237, 0, 0]]","[[0.029343605230761342, 0.038016602040150435, 0.042833933522540994], [9.007332325057994e-08, 9.002791209711915e-08, 9.003174628329488e-08], [0.03512291483049884, 0.0272531843149187, 0.0250360954249081], [0.002913034263002877, 0.004482996362115468, 0.004716812327102911]]","[[0.02687284003278765, 0.05351532605443284, 0.06316414721036838], [0.08052421805796277, 0.1401442617929295, 0.16312585117123254], [0.03455799494572524, 0.05705885309262627, 0.07048795701172374], [0.023918783353469402, 0.06597133305009648, 0.07062929697415225]]"
5,"[[1.461459994316101, 0, 0], [0.08724375069141388, 0, 0], [2.0997371673583984, 0, 0], [1.114272117614746, 0, 0]]","[[0.7515416741371155, 0, 0], [0, 0, 0], [0.31730014085769653, 0, 0], [0.9030892252922058, 0, 0]]","[[0.028648141191348564, 0.041327323252224824, 0.04206899109470393], [9.373669180372538e-08, 9.004047101585449e-08, 9.003592782899947e-08], [0.03341980545384454, 0.022257309734365172, 0.02172545145415496], [0.0021256814485564306, 0.0034675146625359286, 0.003175636340798654]]","[[0.026807510584194748, 0.05684865287871004, 0.06988849352770454], [0.08314158805177624, 0.1499976881031509, 0.1595213755617349], [0.030201624373134183, 0.0560546124370156, 0.07027148271435188], [0.02641275777292981, 0.06547954172499865, 0.07757791172395337]]"
6,"[[1.4938431978225708, 0, 0], [0.08724375069141388, 0, 0], [2.1018941402435303, 0, 0], [1.1142823696136475, 0, 0]]","[[0.7813683748245239, 0, 0], [0, 0, 0], [0.3579917848110199, 0, 0], [0.9030925035476685, 0, 0]]","[[0.0255857640554232, 0.05025139281792613, 0.05025769412401272], [9.005073168827229e-08, 9.003729856456669e-08, 9.00416511139403e-08], [0.029901400706693598, 0.01978348754890835, 0.018749868793772818], [0.0021213592176618852, 0.003708765897868348, 0.0036387863026166134]]","[[0.029707447915064848, 0.061709829062244086, 0.06904424098177349], [0.07949864513950329, 0.14305972744814918, 0.1574425915944678], [0.028974520725957926, 0.0574889390821809, 0.0725985133275177], [0.023537342315584582, 0.06890454811982823, 0.0822999210016351]]"
7,"[[1.4718304872512817, 0, 0], [0.08724375069141388, 0, 0], [2.117551565170288, 0, 0], [1.1142823696136475, 0, 0]]","[[0.7877658605575562, 0, 0], [0, 0, 0], [0.3871621787548065, 0, 0], [0.903099000453949, 0, 0]]","[[0.0273907109095998, 0.043041030173447625, 0.04530407730643954], [9.375302915463674e-08, 9.002310518889779e-08, 9.0041310809893e-08], [0.029709269129650943, 0.02114174714029905, 0.021002217003234968], [0.0022305085160264065, 0.003324190059864653, 0.004016342120025148]]","[[0.026212588261850814, 0.05796666774200903, 0.0650822450821529], [0.08081726628381153, 0.1441566832153302, 0.15145126163591105], [0.034161177227639734, 0.06068009855029764, 0.06834843914924188], [0.025011745031209325, 0.06804662070158649, 0.0782128428856552]]"
8,"[[1.4735362529754639, 0, 0], [0.08724375069141388, 0, 0], [2.131242036819458, 0, 0], [1.1142789125442505, 0, 0]]","[[0.8093690872192383, 0, 0], [0, 0, 0], [0.4355769455432892, 0, 0], [0.903099000453949, 0, 0]]","[[0.01623426512703427, 0.04238999977318524, 0.04418401205580674], [9.005661816716464e-08, 9.003203078406307e-08, 9.004030450995617e-08], [0.026040201217950473, 0.022119186862884967, 0.019842645819007295], [0.001865761502482126, 0.003037783761891431, 0.00397283573421757]]","[[0.02796345742986831, 0.05131461135258717, 0.07587721907547075], [0.08076134077151673, 0.14173799056182257, 0.16007675732553223], [0.029929518628609222, 0.06342723571912166, 0.0687953881379922], [0.025761350260395704, 0.06253108248034787, 0.07523588125684205]]"
9,"[[1.4620500802993774, 0, 0], [0.08724375069141388, 0, 0], [2.1421992778778076, 0, 0], [1.1142823696136475, 0, 0]]","[[0.8127806186676025, 0, 0], [0, 0, 0], [0.5264151692390442, 0, 0], [0.903099000453949, 0, 0]]","[[0.02256040091423715, 0.046814163517812084, 0.04794872521734155], [9.376805597488897e-08, 9.003887046485127e-08, 9.003242705143955e-08], [0.02250636656877346, 0.01615746177780183, 0.018131873191122878], [0.0020889520638115314, 0.0032205879042140045, 0.004765784657442547]]","[[0.029103373614381634, 0.06075600644722822, 0.07489642797365006], [0.08137043536881114, 0.14012355248794786, 0.15562050064461186], [0.029428018737004517, 0.06488082876343436, 0.06759660638749804], [0.025725821394114983, 0.06478357221993816, 0.08069658036442129]]"
10,"[[1.4652513265609741, 0, 0], [0.08724375069141388, 0, 0], [2.1373565196990967, 0, 0], [1.1142857074737549, 0, 0]]","[[0.8218098878860474, 0, 0], [0, 0, 0], [0.5729032158851624, 0, 0], [0.903099000453949, 0, 0]]","[[0.017069231390377908, 0.04938988560305648, 0.046215223079900315], [9.00561723678714e-08, 9.00439250768162e-08, 9.004499177496789e-08], [0.021608542676802258, 0.015732483606316464, 0.01652555808251656], [0.0015694669689172668, 0.002622187642473452, 0.003398983118662972]]","[[0.027923342472080125, 0.06357310225732973, 0.08349965056836602], [0.08167169197672915, 0.14153986814618863, 0.15240319764995947], [0.030738328533429872, 0.05772534645142334, 0.06497249397996074], [0.025379745675926907, 0.06724683479703905, 0.07944311045139897]]"
11,"[[1.4596219062805176, 0, 0], [0.08724375069141388, 0, 0], [2.1425282955169678, 0, 0], [1.1142823696136475, 0, 0]]","[[0.8444008231163025, 0, 0], [0, 0, 0], [0.5772374868392944, 0, 0], [0.903099000453949, 0, 0]]","[[0.02162605533013326, 0.049389219147233404, 0.04964257228069367], [9.00504995719017e-08, 9.00556128746958e-08, 9.002024941320947e-08], [0.022871781853239546, 0.013188921657720029, 0.016288327971509906], [0.0022005093127355347, 0.002457748385026587, 0.004044749889857733]]","[[0.028290500742084182, 0.07200026452890472, 0.07933951758740311], [0.07811278267890664, 0.13914745092076974, 0.1540717897551372], [0.03126616447994502, 0.0563008846184823, 0.06618069680010805], [0.025194754965569163, 0.06662955795865107, 0.0852511645452054]]"
