epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0171351432800293, 0, 0], [0.9858538508415222, 0, 0], [1.0461891889572144, 0, 0], [0.9858538508415222, 0, 0]]","[[0.9815155267715454, 0, 0], [0.9728598594665527, 0, 0], [0.958548903465271, 0, 0], [0.9728598594665527, 0, 0]]","[[0.006490108839589151, 0.012950853796749128, 0.016365174977042093], [0.001240559705468819, 0.003310465140406162, 0.00422192468745061], [0.01515413260942207, 0.009319134932906547, 0.011588778354785693], [0.0012630665899931543, 0.003583476818870945, 0.004199179883437271]]","[[0.003152792567242731, 0.025754490890667576, 0.03896457692915527], [0.020926284504877338, 0.04986341062113816, 0.06405170918229622], [0.005084999646192951, 0.02457644411124489, 0.03586029142160828], [0.020992682857079815, 0.05056937075481891, 0.0636925815673854]]"
1,"[[0, 1.0029240846633911, 0.6327046751976013], [0, 0.9106036424636841, 0.5281116366386414], [0, 1.001939296722412, 0.6175953149795532], [0, 0.9106036424636841, 0.5281116366386414]]","[[0, 0.9948198199272156, 0.6199875473976135], [0, 0.9137371182441711, 0.5180721879005432], [0, 0.9822511672973633, 0.5959240198135376], [0, 0.9137371182441711, 0.5180721879005432]]","[[0.046062593605959934, 0.002195805841054188, 0.012490286176629612], [0.01197370863325297, 0.0021207416524547363, 0.003667640274132341], [0.040428092643276334, 0.01222557036922239, 0.017030050452024735], [0.011785634263023845, 0.0022894163263602043, 0.003823769235335071]]","[[0.026586545280989242, 0.003097699674637133, 0.019173319251468323], [0.034210426145514214, 0.047747132021704025, 0.059840930253134965], [0.028805514402343562, 0.006332799731810327, 0.02428116282152284], [0.034575068059284474, 0.047138570940209734, 0.060057058984205096]]"
2,"[[0, 1.0029330253601074, 0.6327241659164429], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020071268081665, 0.6172153353691101], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200202703475952], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823086261749268, 0.5956637263298035], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04717205679612658, 0.002268959718948103, 0.01240145808671854], [0.012383369904448462, 0.002168020834231387, 0.0036796739243231537], [0.041350015442889014, 0.011704830885894526, 0.017150754381725863], [0.012059582875644789, 0.0023678182847707745, 0.0036881609001180554]]","[[0.02736972653352898, 0.003162501367820704, 0.018710220413131737], [0.0353193370205432, 0.04747197081647936, 0.06109996999206234], [0.028769271651187762, 0.006386480876266586, 0.02364836430878169], [0.035147754675616275, 0.04689584645561091, 0.06044862948188718]]"
3,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020267963409424, 0.6171048879623413], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9824110865592957, 0.5956604480743408], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047252699259277914, 0.002161201032345122, 0.012337128831514783], [0.012112642280432951, 0.002219776528275495, 0.0036173293802373896], [0.04228072517298802, 0.011104149134388005, 0.016431840056341945], [0.0118575038424341, 0.0022570858014780426, 0.0036163008641651754]]","[[0.026681609412222175, 0.003180099581244514, 0.018708345250739618], [0.03487730719338891, 0.0478840902560682, 0.060060440344942595], [0.029382773763359692, 0.006541548767089724, 0.02338615982369856], [0.03494858802071716, 0.04791869101169656, 0.06029195837215235]]"
4,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020428895950317, 0.6171990633010864], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9824416041374207, 0.5957455635070801], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.048087872953281686, 0.002240043278678783, 0.012412590563900336], [0.012219051717153248, 0.002292921879979812, 0.0037654499574781702], [0.042149727487335156, 0.01090309072069334, 0.017285110542553384], [0.01186317867529912, 0.0023161811000745893, 0.003964386663547071]]","[[0.02673628848316522, 0.003066954592499401, 0.018946831094003202], [0.03537093109788581, 0.047670806362456256, 0.059731673710014234], [0.028845697835132304, 0.006576968650891065, 0.023902814260176604], [0.03444757190813929, 0.04778904934699098, 0.060670379367232206]]"
5,"[[0, 1.0029330253601074, 0.6327274441719055], [0, 0.9106054306030273, 0.5281246304512024], [0, 1.0020500421524048, 0.6173225045204163], [0, 0.9106054306030273, 0.5281246304512024]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.982420027256012, 0.5958127379417419], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047446707813072204, 0.002195354555903577, 0.012448986295625925], [0.011945707346533838, 0.0024045830854395765, 0.003716555694987083], [0.041065699851756364, 0.011623434364166884, 0.01676221147804897], [0.01203481741981274, 0.0022603335775394163, 0.003999767513700634]]","[[0.02686169588293318, 0.0029507939280171407, 0.018124144203057857], [0.0344846672982336, 0.047838035254828964, 0.06023271241186083], [0.028756380286940574, 0.006325399522724539, 0.023581647646904617], [0.03435027041201238, 0.04854844087582506, 0.06017770616598583]]"
6,"[[0, 1.0029348134994507, 0.6327274441719055], [0, 0.9106054306030273, 0.5281246304512024], [0, 1.002051830291748, 0.6174101829528809], [0, 0.9106054306030273, 0.5281246304512024]]","[[0, 0.994807243347168, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823877215385437, 0.5958487391471863], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047745575497934935, 0.002262519304037988, 0.012625642665651356], [0.011920781493874091, 0.0024054717613001485, 0.0035573942957028504], [0.04029753460098466, 0.01137626041137505, 0.016253344272485534], [0.011962947687769293, 0.002262501275867355, 0.003651871524064532]]","[[0.02709029201436112, 0.0029513068375467875, 0.018792680850972], [0.03414235153447705, 0.04760757981655094, 0.05938273007719233], [0.028935176300475818, 0.006226143630223945, 0.023913769422625786], [0.03418793173863115, 0.04684665670705812, 0.060160881263949306]]"
7,"[[0, 1.0029330253601074, 0.6327306628227234], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6174654364585876], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.9948090314865112, 0.6200251579284668], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823679327964783, 0.5958749055862427], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.047547649555128635, 0.0022629586740639165, 0.012499193524430368], [0.011975505566918303, 0.002399602517566698, 0.0033261809353328747], [0.04035406474154311, 0.01124170821843709, 0.0166073244228345], [0.011653021727131023, 0.0024248542818468464, 0.0038873121070141614]]","[[0.026446106300201805, 0.002795090572175351, 0.019178039584685818], [0.034616338835720475, 0.0474923776494919, 0.059627700243304174], [0.028829663167384983, 0.0066544768852471355, 0.023211897887522284], [0.03504836808218203, 0.04765640456132726, 0.06006821588890141]]"
8,"[[0, 1.0029330253601074, 0.6327258348464966], [0, 0.9106054306030273, 0.5281230211257935], [0, 1.0020536184310913, 0.6174946427345276], [0, 0.9106054306030273, 0.5281230211257935]]","[[0, 0.994807243347168, 0.6200235486030579], [0, 0.9137406945228577, 0.5180836319923401], [0, 0.9823553562164307, 0.595889687538147], [0, 0.9137406945228577, 0.5180836319923401]]","[[0.04807788399530747, 0.0022598864870102243, 0.01273522359593806], [0.011661968491365882, 0.0024762471989549844, 0.0037386361292920363], [0.04175371399636325, 0.012139769314999709, 0.01659225629871567], [0.012318080043967576, 0.0022229689678025426, 0.003558300941419703]]","[[0.02704349117255168, 0.0030774498236455314, 0.018926908462143947], [0.034304056398427804, 0.04748080405192498, 0.059488255105298773], [0.029009900871296863, 0.006434723640160753, 0.02322577493671828], [0.03495700421869874, 0.04798211667781803, 0.0591150782751799]]"
9,"[[0, 1.0029348134994507, 0.6327274441719055], [0, 0.9106054306030273, 0.5281262397766113], [0, 1.0020536184310913, 0.6175157427787781], [0, 0.9106054306030273, 0.5281262397766113]]","[[0, 0.9948090314865112, 0.6200251579284668], [0, 0.913744330406189, 0.5180836319923401], [0, 0.9823482036590576, 0.5958994626998901], [0, 0.913744330406189, 0.5180836319923401]]","[[0.046475150989261936, 0.00234520893716451, 0.012071055094124554], [0.012054311026121171, 0.0021726397264804583, 0.0037091183274495696], [0.04113123283607923, 0.01127972319426277, 0.01664821679751296], [0.011916287764740657, 0.0023775009949455303, 0.0036526491547293136]]","[[0.027478065361380935, 0.00321518921115755, 0.018096470567314154], [0.0351947678513598, 0.04763509667514002, 0.059724612576182314], [0.02887774927510876, 0.006687756525115875, 0.024169988656550952], [0.034949046391768095, 0.047713710063476245, 0.06081858546755298]]"
