epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[0.9999908208847046, 0, 0], [0, 0, 0], [0.9999846816062927, 0, 0], [0, 0, 0]]","[[1.0, 0, 0], [0, 0, 0], [1.0000030994415283, 0, 0], [0, 0, 0]]","[[0.0005711210920244904, 0.00975973706576468, 0.013165220030984805], [0.08409161879801762, 0.05282583645706023, 0.05391635394117867], [0.00039479677457464405, 0.005133052746459974, 0.006538374564351002], [0.0840320649300178, 0.05384055437992434, 0.05343592750959309]]","[[0.0005328346048294269, 0.024799305944116647, 0.03918198701017405], [0.07260594828676036, 0.11794918765395056, 0.12920636506974592], [0.0006426337108979745, 0.025827714368635672, 0.03986347596243349], [0.07293262875998, 0.11900450151055388, 0.12999884536242204]]"
1,"[[1.0158593654632568, 0, 0], [0.9856335520744324, 0, 0], [1.041600227355957, 0, 0], [0.9856335520744324, 0, 0]]","[[0.9809722304344177, 0, 0], [0.9725140929222107, 0, 0], [0.9598206877708435, 0, 0], [0.9725140929222107, 0, 0]]","[[0.00700059441363448, 0.011805370859724709, 0.015538508741477098], [0.0012561737269428694, 0.003524131906650994, 0.003991306297389716], [0.014938645636138118, 0.008818240212297813, 0.011183068124856699], [0.00134188747961805, 0.0034520342399311085, 0.003990751981990128]]","[[0.0028582339347808117, 0.023801541710302684, 0.034701120406679775], [0.020745355997510262, 0.04995170220896098, 0.06394336502647203], [0.00455025168803685, 0.022740648588808515, 0.03422448363176673], [0.02014950902352205, 0.04965126572942338, 0.06383845983039037]]"
2,"[[1.0166822671890259, 0, 0], [0.9858599305152893, 0, 0], [1.042704701423645, 0, 0], [0.9858599305152893, 0, 0]]","[[0.9794442057609558, 0, 0], [0.9728659987449646, 0, 0], [0.9593021273612976, 0, 0], [0.9728659987449646, 0, 0]]","[[0.00724661479589207, 0.011854291450527472, 0.015803771349190265], [0.001342490678374389, 0.003307430773666091, 0.004231513712837521], [0.015173126083907877, 0.009143346478565911, 0.011246561241497704], [0.0011712964024826553, 0.0035572192979276477, 0.0043548809921251895]]","[[0.002960354032394913, 0.023086860551438455, 0.03604562207504015], [0.02114484854914838, 0.05040461474019519, 0.06388723805426984], [0.004683037062375132, 0.022862188750457608, 0.03293196229413718], [0.021010678717182846, 0.05039272019505056, 0.06395516637855422]]"
3,"[[1.017092227935791, 0, 0], [0.9858568906784058, 0, 0], [1.0431451797485352, 0, 0], [0.9858568906784058, 0, 0]]","[[0.9789935350418091, 0, 0], [0.9728628993034363, 0, 0], [0.9594410061836243, 0, 0], [0.9728628993034363, 0, 0]]","[[0.007505826511899873, 0.012129402600042067, 0.015744727998751425], [0.0012207995855285125, 0.0034122770642391323, 0.004337355044113957], [0.01496501472295808, 0.009202544361192081, 0.011315747491127182], [0.0012023952353948898, 0.003529224167703043, 0.004018030984790237]]","[[0.0030500902504466574, 0.024365623545971573, 0.03698291499316072], [0.021414731383446843, 0.04978907483535178, 0.06375143008586136], [0.005124773708593313, 0.022813697637964845, 0.03366561932211821], [0.021808581134373266, 0.05042393422527229, 0.06490591280615701]]"
4,"[[1.0173308849334717, 0, 0], [0.9858538508415222, 0, 0], [1.0435703992843628, 0, 0], [0.9858538508415222, 0, 0]]","[[0.9793022274971008, 0, 0], [0.9728628993034363, 0, 0], [0.9593299031257629, 0, 0], [0.9728628993034363, 0, 0]]","[[0.007684884823601083, 0.012649766287260176, 0.01664347205624096], [0.0012302200777212422, 0.003383140984858477, 0.004070187821179834], [0.015205550961159582, 0.008807045813467088, 0.011399422711160508], [0.001207402089746305, 0.003461560160783212, 0.004263772612977467]]","[[0.003136501404302009, 0.023924711663061763, 0.035806040096691354], [0.021085407829845634, 0.049983982882881445, 0.064661635935514], [0.005206472405476945, 0.02342979869489573, 0.035456241484177115], [0.021122384964540733, 0.050900999882892525, 0.06469353466043619]]"
5,"[[1.01747465133667, 0, 0], [0.9858538508415222, 0, 0], [1.0435765981674194, 0, 0], [0.9858538508415222, 0, 0]]","[[0.979867160320282, 0, 0], [0.9728567600250244, 0, 0], [0.9591292142868042, 0, 0], [0.9728567600250244, 0, 0]]","[[0.007473189068688679, 0.013484162213884803, 0.016825072814414078], [0.0011899807311428195, 0.003355533352486009, 0.004179301551722327], [0.015593438311585214, 0.009081948960939749, 0.011390853451660523], [0.0012450017889778277, 0.003391845481942608, 0.004136505075572258]]","[[0.003185692747805996, 0.0243729201740625, 0.037464080203292296], [0.021255957920039852, 0.05062827728843674, 0.0639094404368271], [0.004842846686193505, 0.0241822869990654, 0.03543660010368124], [0.020959515361937436, 0.050926648976545474, 0.06398553187053259]]"
6,"[[1.0174716711044312, 0, 0], [0.9858538508415222, 0, 0], [1.0443811416625977, 0, 0], [0.9858538508415222, 0, 0]]","[[0.9802067279815674, 0, 0], [0.9728567600250244, 0, 0], [0.959379255771637, 0, 0], [0.9728567600250244, 0, 0]]","[[0.007645022006212801, 0.014903184668310266, 0.01825073414774965], [0.0011720519106380974, 0.003484504527924381, 0.004298422989811555], [0.014315929615571921, 0.009442418395291271, 0.011270145147149038], [0.0012149176401440316, 0.003402304773480619, 0.004056440948113812]]","[[0.0030769721582516005, 0.024850746773613607, 0.038453632685207434], [0.02148554178453899, 0.050291290839137325, 0.06398253038965053], [0.004953692420414378, 0.02511726223588869, 0.03553590623976549], [0.020705197683436403, 0.05035842410326246, 0.06432105293349343]]"
7,"[[1.0175052881240845, 0, 0], [0.9858599305152893, 0, 0], [1.0457088947296143, 0, 0], [0.9858599305152893, 0, 0]]","[[0.9804165959358215, 0, 0], [0.9728628993034363, 0, 0], [0.9592650532722473, 0, 0], [0.9728628993034363, 0, 0]]","[[0.0069125536092282695, 0.014715895531166675, 0.018194288552406655], [0.0012099954457305455, 0.003615789667107021, 0.004038427007202768], [0.014577800526984272, 0.008969262626938878, 0.010963590504088974], [0.001241565185020639, 0.0033193122001222873, 0.00402455552793194]]","[[0.0030987912301897584, 0.024944500774956576, 0.03731560997616955], [0.02054115753818658, 0.04985169048780706, 0.06497319489941314], [0.005024506350688322, 0.025161550216765943, 0.036234876555998184], [0.021193048205836118, 0.04989935401979156, 0.06482194601225635]]"
8,"[[1.0170586109161377, 0, 0], [0.9858538508415222, 0, 0], [1.0457149744033813, 0, 0], [0.9858538508415222, 0, 0]]","[[0.9813550114631653, 0, 0], [0.9728628993034363, 0, 0], [0.9594780802726746, 0, 0], [0.9728628993034363, 0, 0]]","[[0.006698290888133847, 0.012775362434245163, 0.016019074751997618], [0.001213807361069482, 0.0033861878106981724, 0.004196195258902806], [0.014968044173642888, 0.009349782776210786, 0.01061279142681539], [0.0011631115117309867, 0.003486997580696178, 0.00425125617763969]]","[[0.003190566150877393, 0.02546081626457505, 0.038358231711504556], [0.021093536362944035, 0.05024108304728954, 0.06433867555232885], [0.0051703028210068995, 0.02452852283504179, 0.03782784951690491], [0.021116828038164823, 0.05057982431176808, 0.06460386617796822]]"
9,"[[1.0171105861663818, 0, 0], [0.9858477115631104, 0, 0], [1.0458587408065796, 0, 0], [0.9858477115631104, 0, 0]]","[[0.9813581109046936, 0, 0], [0.9728567600250244, 0, 0], [0.9593175649642944, 0, 0], [0.9728567600250244, 0, 0]]","[[0.006673232002529886, 0.011859646647685199, 0.01569081762467928], [0.0011974302847899947, 0.0032832814261012093, 0.0043739607983737175], [0.015379820059399679, 0.009179261524205973, 0.010808590670773045], [0.0012361439348684904, 0.0032323442778203247, 0.003963921289651616]]","[[0.0032204049972005115, 0.025271864478293892, 0.039370820080898636], [0.02106058255568442, 0.04987714366245385, 0.06379458479637803], [0.0050594188589977085, 0.025294734852277723, 0.0346623655493172], [0.021116598794433235, 0.05036873644576206, 0.06511186118778062]]"
