epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[0.9999939203262329, 0, 0], [0, 0, 0], [0.9999908804893494, 0, 0], [0, 0, 0]]","[[0.9999969005584717, 0, 0], [0, 0, 0], [0.9999938011169434, 0, 0], [0, 0, 0]]","[[0.0005307913951889966, 0.010066307547817736, 0.0127721795191503], [0.08375773144906926, 0.0537353829225278, 0.054349818930282505], [0.0003854764189962035, 0.005269987412780295, 0.0065093415284370616], [0.08356139797751644, 0.05365902696738132, 0.054981503250272123]]","[[0.000508616566235488, 0.024234810990235747, 0.03869980607537147], [0.0726132523481359, 0.11899111058193107, 0.12990017713993363], [0.0007238705035147245, 0.02433352507179984, 0.04042577359410213], [0.07334112983537282, 0.11919594940523526, 0.1289713722635184]]"
1,"[[1.015103816986084, 0, 0], [0.9860458970069885, 0, 0], [1.0347423553466797, 0, 0], [0.9860458970069885, 0, 0]]","[[0.9846714735031128, 0, 0], [0.9725136160850525, 0, 0], [0.9675708413124084, 0, 0], [0.9725136160850525, 0, 0]]","[[0.006543162612145586, 0.011948572549544404, 0.01506792950968912], [0.0012228782549829368, 0.0031157463405475793, 0.003696459137403331], [0.013291309380621195, 0.008991933417757648, 0.010705933706760732], [0.0011693419740944064, 0.003279573157385078, 0.0036911505171327]]","[[0.0026864894990550094, 0.025357668142902624, 0.03960412263525557], [0.021555447973683153, 0.049235777392071675, 0.06375821735042875], [0.003833722725857581, 0.024570441600626502, 0.03579271835030362], [0.021650879093186776, 0.04948376741289032, 0.06413730577666418]]"
2,"[[1.0163689851760864, 0, 0], [0.9861523509025574, 0, 0], [1.0357673168182373, 0, 0], [0.9861523509025574, 0, 0]]","[[0.9821645617485046, 0, 0], [0.9722974896430969, 0, 0], [0.9659005999565125, 0, 0], [0.9722974896430969, 0, 0]]","[[0.007508009636574859, 0.012658042654917979, 0.015527361650495553], [0.001324292687859376, 0.003141144973256321, 0.0038774671954207272], [0.012999717326975808, 0.009321734413349679, 0.011218157119172486], [0.001306289273715792, 0.003101718420510106, 0.003643444054590231]]","[[0.0032399614885928775, 0.026118821808734972, 0.0382223681476367], [0.021498075499335766, 0.04985555968097865, 0.06487715379973329], [0.004522483338310129, 0.02464360984548067, 0.03646035957331244], [0.021699965034594385, 0.05043479372872473, 0.06563597448306235]]"
3,"[[1.016679286956787, 0, 0], [0.9861523509025574, 0, 0], [1.0365124940872192, 0, 0], [0.9861523509025574, 0, 0]]","[[0.9805282950401306, 0, 0], [0.9722882509231567, 0, 0], [0.9634925127029419, 0, 0], [0.9722882509231567, 0, 0]]","[[0.008145410764477837, 0.012705074655712089, 0.01572868248794067], [0.001271659692563454, 0.0032474212717362025, 0.0037483114184450102], [0.01413687270136563, 0.010489828597144462, 0.011828958493242248], [0.0014054306623458557, 0.0032152657905655155, 0.003898151854256098]]","[[0.0033946182671953165, 0.02479795400623949, 0.037135886665211906], [0.021756029530741832, 0.050351553946131854, 0.06308535938673192], [0.004529008641312186, 0.02479420400396704, 0.036531656046614874], [0.02186773528189477, 0.05063341052464743, 0.06334730912918644]]"
4,"[[1.0168039798736572, 0, 0], [0.9861493110656738, 0, 0], [1.03696870803833, 0, 0], [0.9861493110656738, 0, 0]]","[[0.9795496463775635, 0, 0], [0.9722882509231567, 0, 0], [0.963365912437439, 0, 0], [0.9722882509231567, 0, 0]]","[[0.008123799064415226, 0.013383590019723704, 0.01627649195900611], [0.0012509061100457156, 0.003328918060681871, 0.003706141803357137], [0.013780457997963848, 0.012370959871448548, 0.013558743177128933], [0.0012365661882560027, 0.003229941446147177, 0.0037669615734168623]]","[[0.0036924545795801213, 0.025985164231957562, 0.039831610755783696], [0.022459056209308853, 0.050860922010287135, 0.06559102144735508], [0.004507214180354391, 0.02538126083852518, 0.037569671244536265], [0.02185581787202238, 0.04979205210235738, 0.06493608462816754]]"
5,"[[1.016879916191101, 0, 0], [0.9861523509025574, 0, 0], [1.0390033721923828, 0, 0], [0.9861523509025574, 0, 0]]","[[0.9788920283317566, 0, 0], [0.9722944498062134, 0, 0], [0.9599019289016724, 0, 0], [0.9722944498062134, 0, 0]]","[[0.008521092624216563, 0.013421024189154408, 0.01661793586850424], [0.0012399683304882326, 0.003219829969259177, 0.003844139795890698], [0.013481081842026467, 0.011531858017805936, 0.013084136258181044], [0.0011807997166817877, 0.003252265087350967, 0.0038819619235216656]]","[[0.0033493726891491086, 0.025134929828722594, 0.03906897057661874], [0.021868786902393394, 0.050111649250248254, 0.06469583540784989], [0.004482953061874421, 0.024417439064142697, 0.039040371141718724], [0.021705440154207237, 0.05050389963253949, 0.06516397115677462]]"
6,"[[1.0169286727905273, 0, 0], [0.9861584305763245, 0, 0], [1.0415703058242798, 0, 0], [0.9861584305763245, 0, 0]]","[[0.9784011244773865, 0, 0], [0.9722944498062134, 0, 0], [0.9609948396682739, 0, 0], [0.9722944498062134, 0, 0]]","[[0.00850913242904902, 0.014756819085005535, 0.01644882997325541], [0.0012514609145677603, 0.0031412952386543885, 0.00388082621940717], [0.012989723629190333, 0.009246220065515816, 0.010928661378701354], [0.0013472001633502255, 0.0031906598468149708, 0.003781699083767898]]","[[0.003495019427109074, 0.023676073927637816, 0.039637524416254906], [0.021510983271539837, 0.049805556099585396, 0.06468391446115009], [0.004594873050962667, 0.02512018887732207, 0.040050256707457675], [0.02187202036652905, 0.050436523562739165, 0.06457661411463572]]"
7,"[[1.0169529914855957, 0, 0], [0.9861584305763245, 0, 0], [1.042543649673462, 0, 0], [0.9861584305763245, 0, 0]]","[[0.978033721446991, 0, 0], [0.9722974896430969, 0, 0], [0.9609825015068054, 0, 0], [0.9722974896430969, 0, 0]]","[[0.008354927923676097, 0.014563941694228255, 0.01720226003546054], [0.0012968929249663579, 0.003103360642258408, 0.003881794105550908], [0.013118496971915925, 0.00894045619486082, 0.01108055426746143], [0.0014130428864294485, 0.003068717626855968, 0.004060624809651427]]","[[0.0036345016634822752, 0.025981593169263385, 0.03990846214188113], [0.021711507915287406, 0.05023913933309448, 0.06360887074211743], [0.004715746973268055, 0.02524371237503844, 0.03989141975747295], [0.021494052825963457, 0.049246079120823086, 0.0641092249090118]]"
8,"[[1.0169498920440674, 0, 0], [0.9861523509025574, 0, 0], [1.0430728197097778, 0, 0], [0.9861523509025574, 0, 0]]","[[0.9777373671531677, 0, 0], [0.9722944498062134, 0, 0], [0.9603990316390991, 0, 0], [0.9722944498062134, 0, 0]]","[[0.008703462769934585, 0.015118229152665783, 0.017020942977552245], [0.0013083941982425002, 0.003228745008946918, 0.0038782056439606244], [0.013308215424908305, 0.009231505167347703, 0.010674363905517145], [0.001296619428540067, 0.0031855162027453316, 0.003805186039111168]]","[[0.003799668798505222, 0.02575981027086678, 0.038275192466427015], [0.021882465736913326, 0.050118249208592175, 0.06391135025526785], [0.004847314151261289, 0.025240022850875423, 0.04159210424538608], [0.02161293110793252, 0.050107671195545996, 0.06397733448586553]]"
9,"[[1.0170472860336304, 0, 0], [0.9861523509025574, 0, 0], [1.0436080694198608, 0, 0], [0.9861523509025574, 0, 0]]","[[0.9774656891822815, 0, 0], [0.9722944498062134, 0, 0], [0.9581174850463867, 0, 0], [0.9722944498062134, 0, 0]]","[[0.008657859284097, 0.015164111075754529, 0.017560164699810397], [0.001417209785039155, 0.003196648123947471, 0.0038556735230408997], [0.01284664707219445, 0.009214478480169175, 0.011023558310316626], [0.0012261078387944156, 0.003195008958716924, 0.004272508584499154]]","[[0.0037398277230463717, 0.025192819874164395, 0.040678978597006976], [0.022148892709484037, 0.050212513607300224, 0.0644146611576082], [0.00504897170188507, 0.027123423778856296, 0.04062889566693863], [0.022391188247893757, 0.05011596764908352, 0.06415724682098846]]"
