epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[6.594718933105469, 0, 0], [2.301218032836914, 0, 0], [12.2044677734375, 0, 0], [2.301218032836914, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.11634595076864172, 0.06159354122804503, 0.06425502034616225], [0.0001184213407316082, 0.0011359628827251622, 0.0025441756782823752], [0.02326865029837066, 0.023784290916416262, 0.012391163237105282], [3.56916247794954e-07, 0.0011135344364297732, 9.56285592045202e-08]]","[[0.08553041796241007, 0.0715614570118783, 0.10001801377320028], [0.10287979777195702, 0.12104071185057487, 0.19528963548058645], [0.06988984178843238, 0.10870384742448237, 0.14778050075202817], [0.10362345494922356, 0.1899635723159974, 0.14610443291030797]]"
1,"[[0, 1.9914883375167847, 0], [0, 0.08380653709173203, 0], [0, 1.8069782257080078, 0.24373356997966766], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.11984197050333023, 0], [0, 0, 0]]","[[0.01036032524168078, 0.05869749366781468, 0.033434687751839234], [9.096417322224292e-08, 9.07150428954697e-08, 9.062513651442447e-08], [0.012083213961555104, 0.0031743618579365635, 0.005097169414712895], [9.089558928732023e-08, 9.062583556177471e-08, 9.059864250827296e-08]]","[[0.0865068163115827, 0.10212375354324356, 0.11205724799495288], [0.09978369974424017, 0.18948259706377513, 0.15415560158557384], [0.06735485131481508, 0.1168058340755074, 0.10519187763203118], [0.10360158376159788, 0.15815880156415302, 0.20127602236510955]]"
2,"[[0, 1.9914815425872803, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.05456359594221815, 0.03956396560206046, 0.06997464315784717], [9.088253836363652e-08, 9.085629060618545e-08, 9.064020431021994e-08], [0.017662753481733028, 0.005645723071467581, 0.0049106716788868375], [9.077421913381378e-08, 9.062862223507688e-08, 9.066723930232696e-08]]","[[0.06411681265440143, 0.108296240214557, 0.17206884840907188], [0.09869855315587883, 0.12582570010585087, 0.14872267347634066], [0.0668942076735916, 0.06619376198079047, 0.10582347921736943], [0.10083526103989869, 0.15397785434903538, 0.19399948294194103]]"
3,"[[0, 1.9914848804473877, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.05091623254190074, 0.018822099965907387, 0.07356111471630915], [9.081909354333521e-08, 9.06636600826324e-08, 9.054900144871838e-08], [0.009089847885846455, 0.002765644546846971, 0.004924876132241349], [9.097602797974463e-08, 9.068507069720817e-08, 9.071065682775983e-08]]","[[0.06874949241445569, 0.10326886009643077, 0.17574606706707294], [0.07029233116607625, 0.1862101295998691, 0.15905249593195286], [0.066992979561231, 0.06839290219434023, 0.1012443517365249], [0.0697720980382079, 0.18216256738376144, 0.20365416624004956]]"
4,"[[0, 1.9914848804473877, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.010432934797477913, 0.04114277489931024, 0.07632574454364138], [9.080141220508341e-08, 9.069174734865808e-08, 9.062422070450979e-08], [0.008259470771173321, 0.002737017618096006, 0.0024119437283615735], [9.088717183489594e-08, 9.077587246273159e-08, 9.058945824818276e-08]]","[[0.06251206782410956, 0.08298050946248048, 0.10454987825844017], [0.09972415499608445, 0.1484170369167071, 0.15290170697626213], [0.05984535111996555, 0.08179749672913504, 0.11435033281258138], [0.0984894462893767, 0.19251860659152684, 0.15476409072653724]]"
5,"[[0, 1.9914815425872803, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.05332330804892698, 0.06933136134434881, 0.024447849777173937], [9.091907295469961e-08, 9.062085765741031e-08, 9.07122462920877e-08], [0.010930734152177112, 0.0031580764556647265, 0.00254545087407185], [9.130067041904374e-08, 9.079867577708661e-08, 9.060731014099457e-08]]","[[0.0958650942653472, 0.0840552384313804, 0.14468064094583888], [0.10070976169355339, 0.1794652427604447, 0.19733209239169955], [0.06322670431382493, 0.06822338147523763, 0.10886792487122059], [0.07269577892334027, 0.18519725219190633, 0.19893611069329997]]"
6,"[[0, 1.9914815425872803, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.008392406531289729, 0.03331173464366144, 0.057695314883036225], [9.086947354374445e-08, 9.062838966068843e-08, 9.071565145462497e-08], [0.009873838788957099, 0.0037692344713690434, 0.005130856326272991], [9.074847592232288e-08, 9.062992525665514e-08, 9.058140982796707e-08]]","[[0.10112675202037474, 0.085971730820046, 0.10206288267721939], [0.0692478976746992, 0.1498061583024659, 0.15255243412841918], [0.06970341629714152, 0.08455149337206264, 0.10521786059207847], [0.10253475480583214, 0.147245549088563, 0.19851575029155422]]"
7,"[[0, 1.9914848804473877, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.02831297710649124, 0.04399124344858993, 0.06608712582091075], [9.065148339913417e-08, 9.090374172883771e-08, 9.059567662452974e-08], [0.01681866309875467, 0.0031366831535601276, 0.008501194039247068], [9.108859490666297e-08, 9.05667847662112e-08, 9.058035407351295e-08]]","[[0.07071477445222542, 0.1338647581207757, 0.1062367192955678], [0.10140147606717675, 0.18122730143165286, 0.20299431021280787], [0.07066511045491934, 0.11596309809772357, 0.10750257519484796], [0.07055418648217905, 0.1520681558288047, 0.19697102691498664]]"
8,"[[0, 1.9914848804473877, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.030208484783977745, 0.024523142855217027, 0.06835027132473931], [9.094247942895874e-08, 9.057932512452428e-08, 9.060122275355572e-08], [0.018848264200189556, 0.0036350234067183277, 0.0023897879004144322], [9.079782165219192e-08, 9.060137084779711e-08, 9.055344961570786e-08]]","[[0.06819950525865187, 0.09893936808922395, 0.135412654193016], [0.06995225605231079, 0.12401120530936167, 0.19764017663699884], [0.07129222757763068, 0.06779548763683545, 0.10676215661130067], [0.09958782350570661, 0.12530841545712013, 0.18980637367074377]]"
9,"[[0, 1.9914815425872803, 0], [0, 0.08380653709173203, 0], [0, 1.8310598134994507, 0.2812653183937073], [0, 0.08380653709173203, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0.15453390777111053, 0], [0, 0, 0]]","[[0.010143323843793788, 0.020113646110005864, 0.06831214422496314], [9.083888170743345e-08, 9.061543600781151e-08, 9.05523029905188e-08], [0.00887578375018406, 0.0024932331760415564, 0.004274712538277298], [9.07817594033958e-08, 9.061184571202569e-08, 9.059967833877406e-08]]","[[0.09071924699338264, 0.14058616904913948, 0.12347489802586363], [0.09780566144627448, 0.1552295337118025, 0.1484496589652694], [0.07128680531968001, 0.11560314202114072, 0.12234344591396808], [0.10029272074717574, 0.15325806832756478, 0.19503460004966888]]"
