epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.000253677368164, 0, 0], [90281.109375, 0, 0], [1.0004907846450806, 0, 0], [90281.109375, 0, 0]]","[[1.0000582933425903, 0, 0], [0, 0, 0], [1.0001164674758911, 0, 0], [0, 0, 0]]","[[0.012197572374635413, 0.2867354379188219, 0.03382051144358622], [0.10484752343318939, 0.06667655903945043, 0.08072309498371076], [0.028678851844137765, 0.046631965862925284, 0.016594717488144572], [0.08021489513982734, 0.05911212113628904, 0.08667552853322136]]","[[0.007589307251777072, 0.053712339853483886, 0.03718297228481941], [0.0689601204221061, 0.09686704455259929, 0.1725221588757661], [0.03951608761315149, 0.03726243571553527, 0.09271768630774498], [0.07101579576664312, 0.15251190821985242, 0.12882675616414052]]"
1,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.017850900960216173, 0.007832205194739608, 0.008900515424263232], [9.100989605270095e-08, 9.079339916072133e-08, 7.751143610664312e-06], [0.0031041907756930664, 0.0026666919312829645, 0.0072523267933412225], [9.134638617858582e-08, 9.067473228159076e-08, 7.5319077983977975e-06]]","[[0.05784560161378938, 0.07343850179335344, 0.09884350791343965], [0.03028986012935392, 0.18377745182491384, 0.1433507871506958], [0.04608575123044263, 0.08217614222299678, 0.11050380442899202], [0.05535785539079556, 0.08390079801273219, 0.09855934906246917]]"
2,"[[49.454017639160156, 2.0993266105651855, 0], [44.4018440246582, 0.43950971961021423, 0], [47.1114387512207, 0.6261066794395447, 0], [44.4018440246582, 0.43950971961021423, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[8.96274376260015e-05, 0.0030289675185881876, 0.00011462500668773093], [9.099833247180657e-08, 9.069774006568896e-08, 9.066177538516314e-08], [9.620789414841694e-08, 9.573805612503261e-08, 9.610831410791294e-08], [9.144460901843142e-08, 9.088159007276505e-08, 9.109229172451208e-08]]","[[0.06657934228298715, 0.10607883792952133, 0.1831229366401161], [0.17335710898908044, 0.13503315485262882, 0.12115322329170009], [0.2904508404943768, 0.10694034788170105, 0.17851826916203634], [0.09741706811493024, 0.10542944307077202, 0.15400067538786844]]"
3,"[[47.01811218261719, 0, 2.157473564147949], [46.5477180480957, 0, 0], [46.81570816040039, 0, 0], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.121441535078573e-08, 9.075684648318347e-08, 9.079798328122252e-08], [9.096279739012257e-08, 9.077272659929141e-08, 9.074803265257078e-08], [9.591331868726102e-08, 9.601660381267455e-08, 9.595944325486651e-08], [9.081811902515349e-08, 9.087358607729582e-08, 9.096653407968837e-08]]","[[0.09693075788941527, 0.33832036828680584, 0.10321377638477298], [0.062304287174133416, 0.12944823921226536, 0.1020531730025495], [0.03595367601772595, 0.11056945514330024, 0.1471399490348597], [0.03336648093172549, 0.4035969270845436, 0.1321911007796429]]"
4,"[[0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0], [0.7652748823165894, 0, 0], [0.4972839057445526, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.083781182035331e-08, 9.107778559680003e-08, 9.107481047952204e-08], [9.126742991748641e-08, 9.093454761494245e-08, 9.074823913572305e-08], [9.685454589336787e-08, 9.600800975285429e-08, 9.575997269170028e-08], [9.149121717425124e-08, 9.12723041881255e-08, 9.077770134961328e-08]]","[[0.03775433918214689, 0.10219844633402349, 0.4735722100266963], [0.09540836469752642, 0.11068887180558692, 0.1513146937321108], [0.053118553873629806, 0.17829470368459077, 0.14916896936688925], [0.12644288155959751, 0.10363157895648643, 0.11200806471879583]]"
5,"[[43.993526458740234, 0, 0], [43.993526458740234, 0, 0], [44.26152038574219, 0, 0], [43.993526458740234, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.095448207068664e-08, 9.085196974558035e-08, 9.077025808427793e-08], [9.119769699511936e-08, 9.10305762300387e-08, 9.094647946751849e-08], [9.600297317759766e-08, 9.604809004268264e-08, 9.593429618493369e-08], [9.134188217312142e-08, 9.077595746038281e-08, 9.090758347127842e-08]]","[[0.05821964700814612, 0.31436470263759053, 0.13880876923033214], [0.049089417151993685, 0.08845627858523147, 0.1686682552641769], [0.03883450755661246, 0.14688789232903812, 0.1520512206126421], [0.050371936558303645, 0.10568149647842733, 0.21364605391015606]]"
6,"[[46.5477180480957, 0, 0], [46.5477180480957, 0, 0], [46.81570816040039, 0, 0], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.13016306382722e-08, 9.07966870824298e-08, 9.087252308220684e-08], [9.162058212039836e-08, 9.061196166534351e-08, 9.065881601415089e-08], [9.584544973659136e-08, 9.58820204930171e-08, 9.567538708847945e-08], [9.089657331922862e-08, 9.080798855285288e-08, 9.064629182668223e-08]]","[[0.06025480527704083, 0.19373170665846307, 0.14842231335435285], [0.056035367920176875, 0.09916170922980162, 0.10061478690456248], [0.03522857715833573, 0.08739005509562903, 0.09419153618122561], [0.18320875414752208, 0.10591767661071495, 0.11619206856721814]]"
7,"[[0.4972839057445526, 0, 0], [0.4972839057445526, 0, 0], [0.7652748823165894, 0, 0], [0.4972839057445526, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.134159775455691e-08, 9.111998384312397e-08, 9.068470704216185e-08], [9.100127956114739e-08, 9.079669461937146e-08, 9.106956754602291e-08], [9.60303681755816e-08, 9.574475111478616e-08, 9.574001007351493e-08], [9.112958803107566e-08, 9.066409939305483e-08, 9.081477425693446e-08]]","[[0.04890540445204364, 0.08440248395932803, 0.0963508410448988], [0.057105982414027104, 0.08678059421487157, 0.12015307963579952], [0.3061149708781093, 0.4085535060962892, 0.10316788968851594], [0.05988155429850612, 0.11019161015944569, 0.101320551200831]]"
8,"[[43.993526458740234, 0, 0], [43.993526458740234, 0, 0], [44.26152038574219, 0, 0], [43.993526458740234, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.113279124327417e-08, 9.110752004845875e-08, 9.089219013842054e-08], [9.11344875767864e-08, 9.09401174741255e-08, 9.066607484651784e-08], [9.614786089494029e-08, 9.592600174605885e-08, 9.581403377756948e-08], [9.15692803244989e-08, 9.076473208293317e-08, 9.069770375582012e-08]]","[[0.05236136003243104, 0.12163648204733188, 0.13485604081904598], [0.08735335754220104, 0.07801959886630902, 0.12621381771475393], [0.05634230704083554, 0.10469461992801914, 0.20598192789269076], [0.1905498898888467, 0.3495060636897135, 0.36175445667072753]]"
9,"[[46.5477180480957, 0, 0], [46.5477180480957, 0, 0], [46.81570816040039, 0, 0], [46.5477180480957, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[9.10854260990283e-08, 9.123527692601544e-08, 9.062383935012953e-08], [9.100196576174394e-08, 9.097918504814852e-08, 9.096266653987741e-08], [9.610069528439068e-08, 9.623353952087638e-08, 9.580381284814199e-08], [9.13715159337841e-08, 9.077229693740487e-08, 9.068734566871192e-08]]","[[0.03368965790480058, 0.1267737202879972, 0.12415654604601911], [0.04424175190945592, 0.18162420384919026, 0.14296817990304744], [0.0799917314344893, 0.45299406393739633, 0.13021445999492087], [0.160901522152014, 0.14339646630106684, 0.13092603531582217]]"
