epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[0.9999813437461853, 0, 0], [0, 0, 0], [0.9999750852584839, 0, 0], [0, 0, 0]]","[[0.999990701675415, 0, 0], [0, 0, 0], [0.9999814033508301, 0, 0], [0, 0, 0]]","[[0.002028226713033742, 0.013685526021559563, 0.01634616016298528], [0.09052998474439627, 0.0606613690696193, 0.05967661776339035], [0.0013159508689611257, 0.006991990376208766, 0.00984316463051601], [0.08957149116695484, 0.0604662633681865, 0.05990421180901876]]","[[0.0018968775736948652, 0.02763345867218243, 0.044668903839799816], [0.07335799868875151, 0.12349610099061335, 0.1320677620515342], [0.0019588577415471467, 0.03158045644727226, 0.04479022725502254], [0.07692097258869314, 0.12401007170122, 0.13077919872200272]]"
1,"[[1.1794606447219849, 0, 0], [1.0097763538360596, 0, 0], [1.495142936706543, 0, 0], [1.0097763538360596, 0, 0]]","[[0.8719692230224609, 0, 0], [0.9161503314971924, 0, 0], [0.6260221004486084, 0, 0], [0.9161503314971924, 0, 0]]","[[0.022080791836174632, 0.027664812388779447, 0.028921633602119527], [0.004060667633570405, 0.0037601927337522806, 0.0038032843023151257], [0.029026285242332996, 0.02680638219857421, 0.027790409928581568], [0.004210693942221628, 0.0038281397359176297, 0.003805420823904947]]","[[0.012293223235205389, 0.04321815615766284, 0.05713896792902051], [0.024194019571702047, 0.055161186158002064, 0.0668898356598071], [0.027443946917953318, 0.051634365574710316, 0.06120981014905951], [0.02579053049177566, 0.056969271626445626, 0.06852671830197427]]"
2,"[[0, 1.021268606185913, 0.6227009296417236], [0, 0.9285410642623901, 0.5150872468948364], [0, 1.078895092010498, 0.5904163122177124], [0, 0.9285410642623901, 0.5150872468948364]]","[[0, 0.9419668316841125, 0.5606029033660889], [0, 0.8910558223724365, 0.4719189405441284], [0, 0.8556864857673645, 0.4442245662212372], [0, 0.8910558223724365, 0.4719189405441284]]","[[0.05274235287424821, 0.013460761539524321, 0.016335719035177866], [0.018251853863376896, 0.004860487879880419, 0.006131615135369092], [0.04732063802782573, 0.021395156305158775, 0.022568790379362498], [0.01817660651462055, 0.004655411069568309, 0.00710606690890103]]","[[0.03204533906375285, 0.019936051329473438, 0.0361359777861859], [0.037597844873869316, 0.053865430180570294, 0.06568930238623456], [0.04182579810010989, 0.04704383188366468, 0.05723103885829083], [0.0368208776781303, 0.05395419177100902, 0.06884497265935442]]"
3,"[[0, 0.6289036870002747, 0.9988640546798706], [0, 0.5455762147903442, 0.8853265047073364], [0, 0.6124128699302673, 1.0184818506240845], [0, 0.5455762147903442, 0.8853265047073364]]","[[0, 0.5868036150932312, 0.9333500266075134], [0, 0.5334543585777283, 0.848039448261261], [0, 0.5212957262992859, 0.8555811643600464], [0, 0.5334543585777283, 0.848039448261261]]","[[0.052722328183012715, 0.0168583324488786, 0.009624974115181486], [0.024957429482865594, 0.00569554622714317, 0.004882827337326103], [0.042609938698845114, 0.01852966273362668, 0.014466299347771152], [0.023474476857214623, 0.0061326018654867765, 0.004295627004114244]]","[[0.036100366499744546, 0.03206713449022854, 0.022500715391645113], [0.0394131930825835, 0.05405561310763425, 0.061323880888365746], [0.038867167076486464, 0.040927661856039445, 0.03862925680046589], [0.038429250175298184, 0.05379496750103866, 0.060695847995708416]]"
4,"[[1.1326018571853638, 0, 0], [1.0011298656463623, 0, 0], [1.2368862628936768, 0, 0], [1.0011298656463623, 0, 0]]","[[0.8345290422439575, 0, 0], [0.9365958571434021, 0, 0], [0.8468904495239258, 0, 0], [0.9365958571434021, 0, 0]]","[[0.012523060110220497, 0.017911859691965848, 0.01828851159982008], [0.003116802536513204, 0.0038163527116564324, 0.004407673957287454], [0.008481799639093403, 0.006121704156580045, 0.006564481058630847], [0.0036810564032128843, 0.003950555272414426, 0.004775204648483731]]","[[0.022623599885209893, 0.05373813927390632, 0.06941518018123757], [0.023357959087178762, 0.05606968262501236, 0.06602392478308051], [0.023637012486359618, 0.05437706142098722, 0.06674533228340337], [0.02457282120294581, 0.05271617551081838, 0.0656366688621948]]"
5,"[[0, 0.987601637840271, 0.5604580640792847], [0, 0.9285410642623901, 0.5150889158248901], [0, 0.9609439969062805, 0.517532467842102], [0, 0.9285410642623901, 0.5150889158248901]]","[[0, 0.9131346344947815, 0.5046709179878235], [0, 0.8910558223724365, 0.4719189405441284], [0, 0.8718113899230957, 0.4502311050891876], [0, 0.8910558223724365, 0.4719189405441284]]","[[0.029523702880038208, 0.006538109698355676, 0.009118137216320765], [0.021487224733515005, 0.0045815166628558135, 0.005587799147945508], [0.023159521471631025, 0.007795102478010534, 0.009770523887396543], [0.020959051570733845, 0.0043806583955910625, 0.006101947317663104]]","[[0.040056568078473895, 0.04510140839453507, 0.05476875156963858], [0.03866993190235039, 0.053838190522144516, 0.0703017453205764], [0.03806298455569504, 0.05520751341483851, 0.06830810924660206], [0.03723185633145884, 0.054283015981184825, 0.07057936243655369]]"
6,"[[0, 0.5796501040458679, 0.9379172921180725], [0, 0.5455762147903442, 0.8853248357772827], [0, 0.5555188059806824, 0.8947259187698364], [0, 0.5455762147903442, 0.8853248357772827]]","[[0, 0.5547246336936951, 0.877197802066803], [0, 0.5334543585777283, 0.8480361700057983], [0, 0.5237285494804382, 0.8354931473731995], [0, 0.5334543585777283, 0.8480361700057983]]","[[0.0337961475315847, 0.008378485002459916, 0.007121137613751943], [0.023498104203582622, 0.0051240406339285735, 0.005172253961093518], [0.02315187447187192, 0.007848519866106041, 0.008324379009131572], [0.022118191039405988, 0.00552403461865661, 0.004774134935300916]]","[[0.03647073091735194, 0.04332821606374455, 0.047897438194064196], [0.04241412218856475, 0.054925820019730245, 0.05630937943542832], [0.04131994855552107, 0.05407757411768598, 0.0639809526403291], [0.040798756855866196, 0.05507954804273964, 0.06040066738090572]]"
7,"[[1.0263816118240356, 0, 0], [1.0011298656463623, 0, 0], [1.0336555242538452, 0, 0], [1.0011298656463623, 0, 0]]","[[0.9275089502334595, 0, 0], [0.9365927577018738, 0, 0], [0.875082790851593, 0, 0], [0.9365927577018738, 0, 0]]","[[0.005797850106620276, 0.011138688456723271, 0.012769318898512197], [0.003637047338492382, 0.00435438896848009, 0.004684816119804584], [0.0064839905961719254, 0.0036402917057704338, 0.004834017536895654], [0.003474821983564822, 0.0036380951933373726, 0.004555101536391848]]","[[0.02423574204393629, 0.05205603028324682, 0.06511425241333249], [0.026009823013175056, 0.0562685436991929, 0.06784263734569257], [0.025080796041701596, 0.05438964287126133, 0.06661160059226547], [0.021941734320066603, 0.05379399753660561, 0.06685555496461526]]"
8,"[[0, 0.9658881425857544, 0.5631459951400757], [0, 0.9285428524017334, 0.5150872468948364], [0, 0.9436882138252258, 0.5190762281417847], [0, 0.9285428524017334, 0.5150872468948364]]","[[0, 0.9204875826835632, 0.5096358060836792], [0, 0.8910594582557678, 0.4719189405441284], [0, 0.8730304837226868, 0.45148640871047974], [0, 0.8910594582557678, 0.4719189405441284]]","[[0.02980243650983278, 0.004845856539839906, 0.0081657822903168], [0.02052186436474077, 0.004375200531452803, 0.008015862158244234], [0.02440523874518327, 0.007858037623990023, 0.00891686083049933], [0.021076127631884083, 0.0044519441547185195, 0.006920945744767319]]","[[0.03827029561665449, 0.04507732231792673, 0.056052518032588934], [0.038785006087362406, 0.05332314500899918, 0.06524008081161474], [0.039263685343448845, 0.057678583962098594, 0.06788619482296064], [0.03813837976296063, 0.05365024528285356, 0.06850999020221546]]"
9,"[[0, 0.581454873085022, 0.9273918867111206], [0, 0.5455762147903442, 0.8853265047073364], [0, 0.5555513501167297, 0.8947572708129883], [0, 0.5455762147903442, 0.8853265047073364]]","[[0, 0.557377278804779, 0.8790426850318909], [0, 0.5334543585777283, 0.848039448261261], [0, 0.5237939357757568, 0.8354616761207581], [0, 0.5334543585777283, 0.848039448261261]]","[[0.033894791378752114, 0.00944610336905092, 0.005996265599418836], [0.023923879994847852, 0.005603665083863035, 0.004387124139550192], [0.023798732226801123, 0.008012744643623112, 0.007619743327194974], [0.02489152181300982, 0.0061048985606111435, 0.00414634891684339]]","[[0.03611642268544696, 0.041472049768420796, 0.0444814158655668], [0.03962731072654463, 0.05424093976788605, 0.061027825401189596], [0.040004737450458176, 0.05741938654408325, 0.06157207724174602], [0.04069281097059404, 0.0530229250402883, 0.0618827460287715]]"
