epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0171351432800293, 0, 0], [1.0177775621414185, 0, 0], [1.0178937911987305, 0, 0]]","[[0.9815124869346619, 0, 0], [0.981521725654602, 0, 0], [0.9809135794639587, 0, 0]]","[[0.006493007283059974, 0.012612034095305487, 0.015553480997904016], [0.0064609717669752605, 0.011481244072468087, 0.014904363533489607], [0.005725248758685898, 0.011363531087838752, 0.015498922422867467]]","[[0.0032628721948080907, 0.024709126125960802, 0.03796207588322923], [0.0029511249266984127, 0.024115120640625435, 0.03552331376626108], [0.003008341361212371, 0.025814797748253498, 0.03836808404145558]]"
1,"[[0, 0.6378211379051208, 0.9985286593437195], [0, 0.6378765106201172, 0.9983760118484497], [0, 0.6318514943122864, 0.9903536438941956]]","[[0, 0.6379093527793884, 0.9925769567489624], [0, 0.6379273533821106, 0.9926031827926636], [0, 0.6312737464904785, 0.9832547903060913]]","[[0.058943333342611225, 0.014711181449046274, 0.0023612097109669337], [0.058933820788687065, 0.013685459777198644, 0.0021820504962733788], [0.05704892521662309, 0.014534557859598887, 0.0033787895522760752]]","[[0.030249557227325394, 0.015535585165746464, 0.0051273842309246635], [0.030502623389864085, 0.01557132865832393, 0.004627009237409973], [0.03159407184616082, 0.019438604896907474, 0.008853228985869082]]"
2,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983760118484497], [0, 0.6318371891975403, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832547903060913]]","[[0.058545760759109215, 0.01394636500090363, 0.0023996245345961676], [0.05932775225477818, 0.014267034221876779, 0.002288420166922269], [0.056827253461649664, 0.014173205303155547, 0.003450075040866284]]","[[0.030413344737972, 0.01563145917833073, 0.0045494605500610765], [0.03018397683869355, 0.015417089545444542, 0.004123019162206671], [0.031175660004645202, 0.019991623803683897, 0.008809361645437603]]"
3,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378675699234009, 0.9983760118484497], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379183530807495, 0.9926015138626099], [0, 0.6312540173530579, 0.9832547903060913]]","[[0.05917633814974241, 0.013786373031079597, 0.002332808232014217], [0.05834155778304934, 0.014036498054854548, 0.002315030401542932], [0.055338570654585785, 0.014809807022590557, 0.0031636028510958316]]","[[0.029538953080240186, 0.014960218183087268, 0.004680186303774336], [0.02985058295189917, 0.015448132035828035, 0.004669131624852826], [0.03135590172502757, 0.020772380855895826, 0.008557799272116669]]"
4,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312522292137146, 0.9832531213760376]]","[[0.05919515407564543, 0.014622078849650486, 0.0023887319372350372], [0.05912018721403842, 0.0141663754073315, 0.002426232553745377], [0.05520774638769308, 0.014298643567791088, 0.003118255784242253]]","[[0.03052048937848092, 0.015232595793946126, 0.0041789477521408675], [0.03095009676470654, 0.015519981837610771, 0.004291563772622663], [0.030490506985553893, 0.021089571722063848, 0.009207619866814176]]"
5,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832531213760376]]","[[0.05970017962840276, 0.014215049932432423, 0.0023655398055688615], [0.059266124647431834, 0.014025815745124435, 0.002380984689236807], [0.05561086384273918, 0.014834109189047078, 0.0032789081509329754]]","[[0.02973080294549789, 0.01501162257166616, 0.004155530111826668], [0.030255732815973158, 0.015156579913815247, 0.004269210307977983], [0.03100879345965549, 0.020308764058619356, 0.0092518385549111]]"
6,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983792901039124], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832531213760376]]","[[0.058671947074471466, 0.014567564338009372, 0.00236785085309133], [0.05838907040327539, 0.01468548966911489, 0.002278372979023655], [0.05605572025277149, 0.01472324856060688, 0.0032860914980941936]]","[[0.0300912248144135, 0.015919390273152367, 0.004689078221923481], [0.030446497512665954, 0.01553342012101411, 0.004396094240762648], [0.030646988397508432, 0.02072060735541666, 0.008636355407309261]]"
7,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318336129188538, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832547903060913]]","[[0.05863590774953161, 0.014438037408792676, 0.0025806874254311473], [0.05800322857687122, 0.01393872911654705, 0.002451256917279924], [0.056051816089531845, 0.014695244910932494, 0.0033233305829569446]]","[[0.03009300575250779, 0.015916303898074108, 0.004425124177926326], [0.030778068255477322, 0.015223461855990215, 0.004682495325798253], [0.03128648137120632, 0.020510422351051747, 0.009138675175103018]]"
8,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.6318371891975403, 0.9903569221496582]]","[[0, 0.6378931999206543, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832547903060913]]","[[0.05990681394983674, 0.014108394363926448, 0.0024615062463487158], [0.05897563962475283, 0.013922642726236003, 0.0023264717371463753], [0.05734047324389681, 0.013897792261437957, 0.003223099169106316]]","[[0.029368505501201857, 0.015612352632168595, 0.004313099087520856], [0.030546561142130692, 0.01531476043904004, 0.004110747974589156], [0.03033782962086432, 0.019842422263038492, 0.008297818185559884]]"
9,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312540173530579, 0.9832547903060913]]","[[0.05922908414694907, 0.014198555065782308, 0.002501641045408497], [0.058989854722775445, 0.014257810018569768, 0.0022806620252156665], [0.055703424815163875, 0.014309343916818401, 0.0034440730524651054]]","[[0.029928914840335764, 0.015018423347546292, 0.004431030822679912], [0.029841561592719862, 0.015329068684993348, 0.004409017966674935], [0.03114861066229684, 0.02078651090879653, 0.00916347802843051]]"
10,"[[0, 0.637808620929718, 0.9985319375991821], [0, 0.6378693580627441, 0.9983776807785034], [0, 0.631835401058197, 0.9903569221496582]]","[[0, 0.637891411781311, 0.9925638437271118], [0, 0.6379201412200928, 0.9926031827926636], [0, 0.6312558054924011, 0.9832531213760376]]","[[0.05803217769343365, 0.013949281509909534, 0.0024188808836300103], [0.05827434748406268, 0.01415010740985942, 0.002343279096680375], [0.055967753303049726, 0.0145443044935423, 0.0033146513254819756]]","[[0.030548235441436675, 0.015797307427361015, 0.00422414528085816], [0.030262306014153292, 0.015988047739842793, 0.004782389339238929], [0.0312682003515715, 0.01952800089718772, 0.008944288699411069]]"
