epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.5632895231246948, 0, 0], [1.4467214345932007, 0, 0], [1.4689173698425293, 0, 0]]","[[0.8162539005279541, 0, 0], [0.8128228783607483, 0, 0], [0.8586156368255615, 0, 0]]","[[0.021779763115894114, 0.030243637459572304, 0.027925864502959283], [0.005033150911670901, 0.042172144391465466, 0.035914876756159696], [0.005979869775425146, 0.00659000158815625, 0.005892862739651148]]","[[0.02672418595189032, 0.06141070050891587, 0.06893266687643786], [0.025285865794664707, 0.059477210921739895, 0.07944464514686746], [0.024351191756236384, 0.06521469516569689, 0.08112944961022273]]"
1,"[[0, 0.5868540406227112, 0.9673663973808289], [0, 0.5649044513702393, 0.9540777802467346], [0, 0.45084884762763977, 0.8356510400772095]]","[[0, 0.5903283953666687, 0.876520574092865], [0, 0.5661568641662598, 0.8466833233833313], [0, 0.4726962745189667, 0.7380958199501038]]","[[0.0299173077945413, 0.012450798144111796, 0.009387843374485293], [0.03138970727526902, 0.013121953892248534, 0.008400599424792803], [0.012073451171670956, 0.002728085346832323, 0.0035883613857174953]]","[[0.03944777848006759, 0.048841599039878704, 0.05219660816001976], [0.041931143663780666, 0.05492728534557034, 0.059886780252336354], [0.04075184579867905, 0.07253334646210834, 0.08565017326511959]]"
2,"[[0, 0.5881185531616211, 0.9661957025527954], [0, 0.5861038565635681, 0.9678096175193787], [0, 0.4509509801864624, 0.8356865644454956]]","[[0, 0.5918662548065186, 0.8770820498466492], [0, 0.5948584675788879, 0.8714471459388733], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.033834730270973744, 0.010870526280013046, 0.0068403417762992694], [0.03592473304048017, 0.011254632221293042, 0.006241527605613532], [0.013184548335510426, 0.002835234457021744, 0.0024901703606216925]]","[[0.04116667314048133, 0.046580152737639956, 0.04977879438201516], [0.038784089496514094, 0.04468969063245391, 0.04980039764693446], [0.0424494360985692, 0.07464487332000827, 0.09090133259751323]]"
3,"[[0, 0.5882670879364014, 0.9664815664291382], [0, 0.5891379117965698, 0.9712590575218201], [0, 0.450949102640152, 0.8356831669807434]]","[[0, 0.5911325216293335, 0.8765372037887573], [0, 0.5972226858139038, 0.875629186630249], [0, 0.4728500545024872, 0.7381075024604797]]","[[0.03735405471058942, 0.010155020792918438, 0.006843437892593509], [0.031586964446349904, 0.011820329559029228, 0.008306059550716668], [0.011910552827089388, 0.0026831897779361936, 0.0031805556055943844]]","[[0.03723525337267707, 0.04766128392187722, 0.049535965586487235], [0.039584743652914506, 0.06046253781359635, 0.052999664099101326], [0.044060239712731854, 0.07544660502851251, 0.0865984159610217]]"
4,"[[0, 0.5882058143615723, 0.9664815664291382], [0, 0.5893236398696899, 0.9714536070823669], [0, 0.450949102640152, 0.8356814384460449]]","[[0, 0.5911417603492737, 0.8766088485717773], [0, 0.5975042581558228, 0.8759474158287048], [0, 0.47284820675849915, 0.7381041646003723]]","[[0.031110745583295955, 0.012366643899102282, 0.007814233575239943], [0.03460032495664432, 0.01114942678103298, 0.007967050912306069], [0.01176279758271674, 0.0031646130088607005, 0.002011282205736043]]","[[0.03805415696175215, 0.04771384416918352, 0.04334672509689177], [0.036313108176178645, 0.049273315600709175, 0.053919209700955054], [0.04373634010061132, 0.07244031784133037, 0.0829522174926761]]"
5,"[[0, 0.5882002115249634, 0.9664815664291382], [0, 0.5893830060958862, 0.971480667591095], [0, 0.4509509801864624, 0.8356831669807434]]","[[0, 0.5911269783973694, 0.8766088485717773], [0, 0.5975635647773743, 0.8759807348251343], [0, 0.4728500545024872, 0.7381091713905334]]","[[0.03184366158406027, 0.012147604982090861, 0.008365239284436821], [0.03223276152432779, 0.010557524604824443, 0.008242284089628325], [0.012933648423041068, 0.0033236960633604234, 0.002736821697338563]]","[[0.035912679351705945, 0.047654641514861214, 0.052877292461532145], [0.038852109054067704, 0.045387145365442555, 0.04489894369930546], [0.044850244256212715, 0.07704507006330188, 0.08505448129607691]]"
6,"[[0, 0.5881965160369873, 0.9664815664291382], [0, 0.5894034504890442, 0.9714891314506531], [0, 0.4509509801864624, 0.8356865644454956]]","[[0, 0.5911251306533813, 0.8766088485717773], [0, 0.5975784063339233, 0.8759857416152954], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.033724199707486864, 0.012998643139470084, 0.00878075466584363], [0.03505479310877056, 0.011155161976359868, 0.008574419539563788], [0.013375921941801561, 0.0023772030643823745, 0.0033703459104919694]]","[[0.03679210474487312, 0.05020521610580443, 0.04904475772410715], [0.03994702976236691, 0.05179643253335825, 0.048952937513891556], [0.03993219519989465, 0.07341122181945256, 0.08117203588150006]]"
7,"[[0, 0.5881909728050232, 0.9664815664291382], [0, 0.5894127488136292, 0.9714925289154053], [0, 0.4509546756744385, 0.8356865644454956]]","[[0, 0.5911213755607605, 0.8766088485717773], [0, 0.5975839495658875, 0.8759907484054565], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.033877555267398905, 0.01151998158498952, 0.007569150708659747], [0.03545636034198972, 0.012489801169213074, 0.006825206940972989], [0.012217264124187631, 0.0033462287573034224, 0.002764761030892919]]","[[0.04015882445387473, 0.0497102909219568, 0.050498032898308426], [0.037392578140220595, 0.04967904128935441, 0.0516720396709453], [0.0435331130512814, 0.07115372846899475, 0.08447409154493105]]"
8,"[[0, 0.5881890654563904, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509546756744385, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.03226965194693043, 0.011485340908446441, 0.007724466944318811], [0.03273990745996072, 0.013164612935890767, 0.006953347654136612], [0.012240019787827145, 0.0033041730931431586, 0.0028963480240554117]]","[[0.03717661323022887, 0.051307766550585186, 0.04825664612427359], [0.03979638474823422, 0.04785728330094807, 0.04990241911579158], [0.04326256781321596, 0.07459327739444806, 0.08412781150443047]]"
9,"[[0, 0.5881909728050232, 0.9664815664291382], [0, 0.5894182920455933, 0.9714925289154053], [0, 0.4509546756744385, 0.8356865644454956]]","[[0, 0.5911176800727844, 0.8766088485717773], [0, 0.5975839495658875, 0.8759874105453491], [0, 0.4728519022464752, 0.7381091713905334]]","[[0.0331530434299948, 0.010086818986788097, 0.007067307061937909], [0.03602706348169063, 0.010599423055952411, 0.007053163016829664], [0.013524003497866265, 0.0040949161593476936, 0.002430003476752439]]","[[0.03882081910570056, 0.048266187846022525, 0.05084182606542122], [0.03858958003727813, 0.04574455036849604, 0.05523257784623396], [0.044245201217985315, 0.07521304761886465, 0.09001020070547877]]"
