epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.6318829655647278], [0, 0.6383858919143677, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6227675080299377], [0, 0.6425595283508301, 1.0]]","[[0.0005588443176315039, 0.0101158184774607, 0.013707756416048628], [0.047078865850785155, 0.0007568070366868446, 0.012350995284997607], [0.060191778719103646, 0.013612776880560977, 0.0008266091297010485]]","[[0.0005016667357726635, 0.02491163815103367, 0.03989056385227928], [0.02605422224895465, 0.0006996442908488974, 0.015573139428222051], [0.029954707943621237, 0.013735891882101862, 0.0007632279924570895]]"
1,"[[1.0158624649047852, 0, 0], [1.015614628791809, 0, 0], [1.014427661895752, 0, 0]]","[[0.9809784293174744, 0, 0], [0.9800986647605896, 0, 0], [0.9813827872276306, 0, 0]]","[[0.006763669908789303, 0.011673644522733114, 0.014652278909186528], [0.00711161851953977, 0.011722145376180562, 0.014773235020489361], [0.006902043530173517, 0.012142899826374612, 0.01486697201064976]]","[[0.002744074772728302, 0.024295203176867643, 0.0359279763711811], [0.002681358382549076, 0.023654954142494924, 0.03736643301339375], [0.003473420939243791, 0.023076302250399614, 0.03324187793842228]]"
2,"[[1.016679286956787, 0, 0], [1.016275405883789, 0, 0], [1.017520546913147, 0, 0]]","[[0.9794442057609558, 0, 0], [0.9790306091308594, 0, 0], [0.9791046977043152, 0, 0]]","[[0.007325038700304493, 0.012340131933749453, 0.015196502372054494], [0.007060492014157686, 0.01173274524429107, 0.015231036535307942], [0.006109793616834383, 0.02546014991802712, 0.028841600627944396]]","[[0.0028852440920031767, 0.02409794228199974, 0.036151012288694655], [0.0029075685537590344, 0.02448162010304818, 0.034776084120802596], [0.0030319933861830827, 0.02657950113936653, 0.03984901246745271]]"
3,"[[1.017092227935791, 0, 0], [1.0164589881896973, 0, 0], [1.017000436782837, 0, 0]]","[[0.9789966344833374, 0, 0], [0.9789472222328186, 0, 0], [0.9829139113426208, 0, 0]]","[[0.007397774536144005, 0.01259488899929767, 0.015669001683707464], [0.007504768321005469, 0.012069483358042065, 0.014874209107355969], [0.005073289219983922, 0.011401299007612047, 0.014784384512046294]]","[[0.0030909586724725082, 0.023536687656090804, 0.03740288288142803], [0.002970189716499963, 0.023120745526414698, 0.035172721472950384], [0.002956265577013455, 0.024402429579614315, 0.03605939195451444]]"
4,"[[1.0173308849334717, 0, 0], [1.016547679901123, 0, 0], [1.0173492431640625, 0, 0]]","[[0.9793084263801575, 0, 0], [0.9792096018791199, 0, 0], [0.9826669692993164, 0, 0]]","[[0.007489535089339206, 0.012752308007264039, 0.01584454441005953], [0.007537397801951033, 0.012196867096334081, 0.016218096791052104], [0.005151329858838815, 0.01183779278382484, 0.014834472414493507]]","[[0.0032314210920589225, 0.024708221865423683, 0.03782454441118947], [0.002986017213374367, 0.02391510298238816, 0.03546279145423207], [0.0030504364177379663, 0.02387493029144942, 0.03686168125436069]]"
5,"[[1.01747465133667, 0, 0], [1.0165843963623047, 0, 0], [1.0175297260284424, 0, 0]]","[[0.9798702001571655, 0, 0], [0.979632556438446, 0, 0], [0.982302725315094, 0, 0]]","[[0.007731118240641831, 0.013276390943271045, 0.01684350560091556], [0.007668056920221782, 0.013083291471656173, 0.015887573864634432], [0.005179160860806862, 0.01141992114071613, 0.014742835868230282]]","[[0.003125829656538689, 0.023747074469386308, 0.038419895199447655], [0.0030185467239550816, 0.024412753777064547, 0.036590734237429826], [0.0029270682769481507, 0.025186723141340003, 0.03754158365576987]]"
6,"[[1.0174685716629028, 0, 0], [1.0165599584579468, 0, 0], [1.017746925354004, 0, 0]]","[[0.9802067279815674, 0, 0], [0.9800183773040771, 0, 0], [0.9818705320358276, 0, 0]]","[[0.007614807764615263, 0.015152929582854545, 0.017805260528958068], [0.0073074402987815075, 0.01361070723369677, 0.01674904891552849], [0.005403657097572776, 0.011675347552919643, 0.014938623463479218]]","[[0.00329408374752517, 0.025478829818721987, 0.038073737247175055], [0.0030094058994225414, 0.023622302320721846, 0.036073961621832254], [0.0030582984161679687, 0.025879430851156345, 0.037758448963793795]]"
7,"[[1.0175083875656128, 0, 0], [1.0164589881896973, 0, 0], [1.017838716506958, 0, 0]]","[[0.9804165959358215, 0, 0], [0.9804227948188782, 0, 0], [0.981580376625061, 0, 0]]","[[0.0072290639373021924, 0.014502972630497312, 0.018218726308154774], [0.007384167834645422, 0.01399475678261969, 0.016766927458587814], [0.005590520826456485, 0.011322889669682187, 0.01469736694126261]]","[[0.003083972349559536, 0.025429112311929455, 0.0370190240016257], [0.0029544192237700084, 0.023902431062453787, 0.0362592689769913], [0.0029803902764890446, 0.026206615467515366, 0.0367310106378209]]"
8,"[[1.0170555114746094, 0, 0], [1.0168812274932861, 0, 0], [1.017863154411316, 0, 0]]","[[0.9813550114631653, 0, 0], [0.981185257434845, 0, 0], [0.9814538359642029, 0, 0]]","[[0.006818673628963053, 0.012354955436520623, 0.015977067135268072], [0.006897125093735244, 0.012283564631856939, 0.01571328682286058], [0.005519321663018036, 0.012658845319428602, 0.01599523234189853]]","[[0.00326330861837446, 0.024776075265717512, 0.03755624615973889], [0.0030342346571793407, 0.024739102123611675, 0.036124191486434434], [0.002991166078007903, 0.026374706066016513, 0.03879239696107246]]"
9,"[[1.0171105861663818, 0, 0], [1.017425775527954, 0, 0], [1.0178754329681396, 0, 0]]","[[0.9813581109046936, 0, 0], [0.9811297059059143, 0, 0], [0.9813766479492188, 0, 0]]","[[0.006715217159544923, 0.012779324072145453, 0.015867643985676333], [0.00733287024444937, 0.012052417747055795, 0.015284994166639672], [0.005751573752054531, 0.011886588222834189, 0.015035600193324528]]","[[0.0032302278133233856, 0.02476636110466661, 0.03839505287217913], [0.0032537535191952786, 0.02435501395432424, 0.03524513531292236], [0.003063295232212929, 0.026590375872150705, 0.03894912707072059]]"
10,"[[1.0171167850494385, 0, 0], [1.0174654722213745, 0, 0], [1.0178815126419067, 0, 0]]","[[0.9814013242721558, 0, 0], [0.9810988306999207, 0, 0], [0.9813303351402283, 0, 0]]","[[0.006824228581293032, 0.012562361860290375, 0.016430437023749325], [0.007364528337624304, 0.011744295436497838, 0.014990224901899449], [0.006043743420665941, 0.01175143383234487, 0.015113318381536177]]","[[0.003199593673453879, 0.025166243017681233, 0.037984090609711064], [0.0031918762327870645, 0.025144527514342527, 0.0376841798570484], [0.0029874434242466736, 0.025898295246475134, 0.03821599991281599]]"
11,"[[1.0171259641647339, 0, 0], [1.017138123512268, 0, 0], [1.0178877115249634, 0, 0]]","[[0.9814291000366211, 0, 0], [0.9811883568763733, 0, 0], [0.9812933206558228, 0, 0]]","[[0.006445862909366713, 0.012909431791219731, 0.015427601413604348], [0.007306678963636301, 0.012082247611055377, 0.01460970997373759], [0.005518162225986978, 0.011999390250203596, 0.015117279533550984]]","[[0.003119057493118903, 0.02472575744601716, 0.038812360437745275], [0.0032067527545515365, 0.023672670196997456, 0.03648266134508426], [0.002990307212490455, 0.026275019638880404, 0.03876855521611163]]"
12,"[[1.0171289443969727, 0, 0], [1.0177072286605835, 0, 0], [1.0178877115249634, 0, 0]]","[[0.9814507365226746, 0, 0], [0.9815927147865295, 0, 0], [0.9812408089637756, 0, 0]]","[[0.006725907100904458, 0.012031557106745652, 0.016227938830057135], [0.006511084580685489, 0.011600803124595193, 0.014646258922365239], [0.00574853254425926, 0.01116393904469848, 0.015284916309264625]]","[[0.0032202812091508344, 0.02560399526808504, 0.03749760130567004], [0.0031323962815172817, 0.024290607810224775, 0.036300915382797866], [0.0029727065906598837, 0.025882958441700153, 0.039473560776482064]]"
13,"[[1.0171351432800293, 0, 0], [1.0177255868911743, 0, 0], [1.0178877115249634, 0, 0]]","[[0.9814692735671997, 0, 0], [0.9815741777420044, 0, 0], [0.9812068343162537, 0, 0]]","[[0.006533311052495647, 0.012913181004288208, 0.016144013163293794], [0.0064017204367769025, 0.011503063180413532, 0.01467534617539033], [0.005387657443781412, 0.011822645423749957, 0.015255824343763862]]","[[0.003217922043525546, 0.025039926906411082, 0.03814612365292815], [0.0030931839098627223, 0.02496812435016814, 0.03626689621016884], [0.002963080311057529, 0.026177262192051368, 0.0385082203317743]]"
14,"[[1.017132043838501, 0, 0], [1.0177377462387085, 0, 0], [1.0178906917572021, 0, 0]]","[[0.9814785122871399, 0, 0], [0.9815433621406555, 0, 0], [0.9811698198318481, 0, 0]]","[[0.006718901364642868, 0.013026894245246542, 0.016025493085176902], [0.006716806940061125, 0.011567642678256256, 0.01420953605460081], [0.005648483966304229, 0.012204355085934974, 0.015389605361609963]]","[[0.0031526983876619865, 0.025351935605377705, 0.03811157113634476], [0.003138574583415155, 0.02464807821267137, 0.036462913855248746], [0.002972866165600084, 0.026421314287514087, 0.03797156662343963]]"
15,"[[1.017132043838501, 0, 0], [1.017762303352356, 0, 0], [1.0178906917572021, 0, 0]]","[[0.9814847111701965, 0, 0], [0.981521725654602, 0, 0], [0.981126606464386, 0, 0]]","[[0.006942938243393261, 0.012782781618893051, 0.015628934500383], [0.006533768457061298, 0.011566670686011334, 0.015360281085269862], [0.005711107465160729, 0.011371739884943048, 0.015621210741286704]]","[[0.0032548462685237046, 0.02457211627724587, 0.038630162096499034], [0.0030478733571961255, 0.024230851559885167, 0.03575008015756189], [0.003044354758635989, 0.0264463458200447, 0.03761529202948361]]"
16,"[[1.017138123512268, 0, 0], [1.0177775621414185, 0, 0], [1.0178937911987305, 0, 0]]","[[0.981497049331665, 0, 0], [0.9815155267715454, 0, 0], [0.981092631816864, 0, 0]]","[[0.00665295331531939, 0.012424039370919574, 0.016418047938113085], [0.006628516458208567, 0.011559465485966607, 0.015047389802078284], [0.005585767015346014, 0.01207189870652779, 0.01598329459369727]]","[[0.0033135070172129705, 0.025269895999706984, 0.03955005894752919], [0.0031599837020342973, 0.024211785656785802, 0.03543888993007367], [0.0029269516487745065, 0.025339881279433974, 0.03864729628877361]]"
17,"[[1.0171351432800293, 0, 0], [1.0178111791610718, 0, 0], [1.0178937911987305, 0, 0]]","[[0.9815000891685486, 0, 0], [0.9814692735671997, 0, 0], [0.9810556173324585, 0, 0]]","[[0.006557127988380035, 0.012896721583085928, 0.01581170367390178], [0.006706258440705355, 0.011309317813500802, 0.01465750348406553], [0.005610117445457702, 0.011343569584349603, 0.015629092309728903]]","[[0.003193918236934957, 0.02481188127784475, 0.037829355864063254], [0.002922899166208553, 0.024770367486839744, 0.034628608933057345], [0.003137333849083099, 0.02577980877872138, 0.03816759055957121]]"
18,"[[1.0171351432800293, 0, 0], [1.0178295373916626, 0, 0], [1.0178937911987305, 0, 0]]","[[0.9815093874931335, 0, 0], [0.9813766479492188, 0, 0], [0.9810062050819397, 0, 0]]","[[0.00660928214438042, 0.012735267166812933, 0.015929558244581202], [0.006437912901418294, 0.011668071839684652, 0.014738640156307999], [0.005528087131960583, 0.011898213278822053, 0.015072331943210837]]","[[0.003299908965987423, 0.024825681599701437, 0.03872889145243966], [0.002904243014516427, 0.024563848728589986, 0.034220831390632776], [0.0030367063228662564, 0.025465913337796554, 0.0397841389382771]]"
19,"[[1.017138123512268, 0, 0], [1.017832636833191, 0, 0], [1.0178937911987305, 0, 0]]","[[0.9815093874931335, 0, 0], [0.9813581109046936, 0, 0], [0.9809598922729492, 0, 0]]","[[0.006550107293042187, 0.012856465965314022, 0.0156669682339565], [0.006862714158429486, 0.012093513853994951, 0.01500599429215587], [0.005771375550919349, 0.012015237789479166, 0.015071865643790221]]","[[0.003093604443553787, 0.02486199717757263, 0.03843818144375964], [0.0030067492530550894, 0.02419241774407501, 0.03437603138990752], [0.003173367122687387, 0.025758894361048886, 0.039111400513678556]]"
