epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[6.594708442687988, 0, 0], [7.4524827003479, 0, 0], [7.330928325653076, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.07800277438391526, 0.06692391716744955, 0.10679756643006018], [0.045411946461134896, 0.0334087129360523, 0.050241977924954176], [0.03540061409392758, 0.00960561920701587, 0.06106477049558418]]","[[0.07867347003284181, 0.13329942326720956, 0.10481117333282897], [0.058676672036034695, 0.07333948308013057, 0.12924039276995], [0.05403538217072783, 0.0919516950995787, 0.11415498684761405]]"
1,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.49127256870269775, 1.933944821357727], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25096583366394043, 0.2860914170742035], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.005610731564951827, 0.02999259742971378, 0.0683352484573755], [0.01836320512398204, 0.0058051057829637395, 0.008349196491430186], [0.01398656612704771, 0.0028810366134860797, 0.0076675987533570715]]","[[0.06591952940940653, 0.0840060259194474, 0.1377148765463657], [0.05735068557817015, 0.10017882734731393, 0.10502702745660349], [0.0656467586918121, 0.11855484939839858, 0.1048447855655859]]"
2,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612422943115234], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.025178783493378733, 0.02974424167019641, 0.014562387055302214], [0.01576758540960136, 0.006474624939215192, 0.009345877916969786], [0.026507835931149998, 0.010764665249229073, 0.005647197626577541]]","[[0.06424931424087436, 0.10247084279522926, 0.13552834810751968], [0.07446768846484071, 0.07071225048823886, 0.10034377722026903], [0.06610084548187033, 0.11423644705235389, 0.10294683761264589]]"
3,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612422943115234], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.02807428717791437, 0.030811491123222068, 0.0397344072848162], [0.013873293830925905, 0.009550031746596995, 0.017743735944780563], [0.027115489010761773, 0.007147379379163042, 0.007522220309714993]]","[[0.06675496912149555, 0.13464792793028407, 0.13442191196830572], [0.05845318604221508, 0.06429801696331114, 0.11989432479909476], [0.07249963903197136, 0.09126020944306824, 0.12183294265679682]]"
4,"[[0, 0.2835489809513092, 1.844832420349121], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.025710439743600568, 0.034041724980064476, 0.011107788658240227], [0.01422926477892613, 0.003838579392971801, 0.014235719861207063], [0.01921835958230394, 0.005110573100294268, 0.011164603473266803]]","[[0.06348193020429302, 0.10152995367786527, 0.09501780764468666], [0.07709709096749236, 0.06858197996624009, 0.12062267421008203], [0.06646151546608134, 0.07434037073454583, 0.1277411437584018]]"
5,"[[0, 0.2835489809513092, 1.8448340892791748], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25097042322158813, 0.28612616658210754], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.02783061001665999, 0.03450461968015656, 0.06978756554883175], [0.014697433311156988, 0.005696872522576762, 0.005176205281180032], [0.014375433116823565, 0.006313502821668837, 0.03324322711189528]]","[[0.06836618864048198, 0.10362475621897273, 0.13829728664278554], [0.05573789775887981, 0.10804911076814559, 0.14010568809918003], [0.06384865537485834, 0.06443934292063891, 0.12621212701030754]]"
6,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25097042322158813, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.025664676849619695, 0.011228232609978508, 0.012468354765626103], [0.014850307788816103, 0.004580375758400064, 0.013450749422999614], [0.013137503730009843, 0.004292046914891869, 0.005264496667663192]]","[[0.07241124539488913, 0.12166255797327108, 0.13297411475596574], [0.05601829292848492, 0.09267475017985218, 0.12420940209622759], [0.07615545039903539, 0.08516942425625774, 0.11866315307046305]]"
7,"[[0, 0.2835489809513092, 1.8448307514190674], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25097042322158813, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.005905664416999119, 0.009507042095767755, 0.012867607716792278], [0.016194082991574973, 0.004762194705416952, 0.0249252307358421], [0.027128801721524647, 0.0027564787269586002, 0.006963194194455542]]","[[0.07741907276677025, 0.10046433824509508, 0.09491155172937644], [0.06660882522102231, 0.1198821831621831, 0.10679955801652187], [0.07595160967957594, 0.07616269436227019, 0.11719981819257207]]"
8,"[[0, 0.2835455536842346, 1.844832420349121], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25097042322158813, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.03867016517831311, 0.029991661343075647, 0.013594504722833634], [0.017436293034473922, 0.008999955954082352, 0.0058297492836450445], [0.018557924826208636, 0.005010203966287369, 0.006005761589501873]]","[[0.06708278931499881, 0.10760256795221172, 0.10507721290487544], [0.06402394354389529, 0.087691006941275, 0.11704982971564167], [0.07409344788636986, 0.08738478673187386, 0.13074099787253346]]"
9,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.029386954926583164, 0.024894501942523566, 0.07455078388961073], [0.030252041347846845, 0.014402493832832477, 0.015230727630536334], [0.014637357322611181, 0.004345288816675641, 0.01191159016762343]]","[[0.06305900333033375, 0.10114373080191576, 0.1413418580675529], [0.06073785251135455, 0.0656146526221319, 0.10536818623173093], [0.07877980894153054, 0.07095451533821681, 0.10046661270510204]]"
10,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.03873339434218603, 0.024309859997473416, 0.06865971561551866], [0.02907625813936484, 0.009214730468038628, 0.009277442719773075], [0.028637907101712528, 0.007893966482233058, 0.005711607471668512]]","[[0.07820637637540838, 0.09758440273853312, 0.14486322857225134], [0.06901211244102821, 0.08275028300018254, 0.1332814116445889], [0.06471555645639857, 0.07164707274936942, 0.12265665098739036]]"
11,"[[0, 0.2835455536842346, 1.8448307514190674], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612616658210754], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.027817064543805295, 0.030017438961273582, 0.06850839161130415], [0.03137938625169925, 0.0072812306593422384, 0.0130612527422041], [0.013707443093571194, 0.004094692958948831, 0.007934759814121626]]","[[0.06759595757061398, 0.1252148430338676, 0.09565384136522787], [0.05852579950454718, 0.08739188753827398, 0.1312875057819849], [0.07839023012886825, 0.09063991685260908, 0.11881193828927143]]"
12,"[[0, 0.2835472524166107, 1.8448307514190674], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.02952070545366715, 0.03347113920278144, 0.026997352389437075], [0.030006642856123634, 0.009393661311919418, 0.012659275338010516], [0.02710052091309478, 0.0076478252525783484, 0.007171377546977791]]","[[0.07619139506957981, 0.10100587662508681, 0.1376650149477211], [0.0610580649271611, 0.06764517933131825, 0.10272294848341218], [0.062255583483521254, 0.08764065317959896, 0.12313103121069763]]"
13,"[[0, 0.2835472524166107, 1.8448307514190674], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.25097042322158813, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.033598964491753175, 0.010501643945001403, 0.03616602719640601], [0.014867462246235873, 0.008803400858356231, 0.01105402191499837], [0.0187540572709672, 0.0029587092729306797, 0.00955698986640133]]","[[0.08054070023183224, 0.11826438238488725, 0.1535504748900296], [0.07211891090816855, 0.11692312802574321, 0.10103692472685978], [0.07207063964960787, 0.08693996034565821, 0.10689963342456463]]"
14,"[[0, 0.2835489809513092, 1.8448307514190674], [0, 0.4912520945072174, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612810373306274], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.02779588909691226, 0.01054134048264507, 0.06976859878800615], [0.015165139529418177, 0.01266918731864249, 0.006180017706630472], [0.013776006842744907, 0.007619554634551526, 0.006758552591283489]]","[[0.06965618084348513, 0.11912602560526216, 0.1324613204688669], [0.07139654469721947, 0.06963122384631089, 0.13275359169417011], [0.07161082326794452, 0.07065805187653422, 0.09670379411998099]]"
15,"[[0, 0.2835489809513092, 1.8448340892791748], [0, 0.4912503957748413, 1.9339497089385986], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612422943115234], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.04365503280537101, 0.03427457694376257, 0.0109907140433772], [0.021338468249977958, 0.021102210578361622, 0.01138505516481088], [0.020450096026349847, 0.003428122638316493, 0.005443949562331453]]","[[0.07825020855834683, 0.130674630304554, 0.09526095535866284], [0.07337002368724657, 0.06891578379305625, 0.10828006229381257], [0.06446492512190385, 0.09260175653020199, 0.09926377410671419]]"
16,"[[0, 0.2835472524166107, 1.844832420349121], [0, 0.4912503957748413, 1.9339513778686523], [0, 0.49020135402679443, 1.3125334978103638]]","[[0, 0, 0], [0, 0.2509750425815582, 0.28612422943115234], [0, 0.2613186836242676, 0.3329612612724304]]","[[0.03779593243526298, 0.011316905772474984, 0.06965811613642216], [0.03208620731854667, 0.012004717558628407, 0.004607801418351263], [0.01280540814050241, 0.004273696561073295, 0.006031079858588291]]","[[0.0649502894145038, 0.07991267503099408, 0.09633563265920131], [0.0689497483255449, 0.07232596119615804, 0.12557611831009075], [0.08501557321557505, 0.08744294478610169, 0.09930814524910371]]"
