epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.623420774936676], [0, 0.6441087126731873, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6022645235061646], [0, 0.6416881084442139, 1.0]]","[[0.0020173774639227547, 0.013690379443126753, 0.016326170537318066], [0.05543598636139542, 0.002829040173632391, 0.014689213461945566], [0.06720796135016803, 0.01759420396407241, 0.0028291021023829793]]","[[0.0018968639980840645, 0.02767838983012235, 0.04470229041974458], [0.02827609178930606, 0.0029986124490263494, 0.02073898057660169], [0.03283522817292017, 0.01600404289783221, 0.00296979223024242]]"
1,"[[1.1778607368469238, 0, 0], [1.1848794221878052, 0, 0], [1.2008434534072876, 0, 0]]","[[0.8733062744140625, 0, 0], [0.7934119701385498, 0, 0], [0.8656740188598633, 0, 0]]","[[0.022736707928951046, 0.026526279785059528, 0.02806068229752196], [0.03161747579024781, 0.029925940289383356, 0.03449760511135681], [0.01146669552165997, 0.017428062408620656, 0.01766846726773082]]","[[0.01146283862680034, 0.04071591548367676, 0.055753327188345796], [0.013865929352629789, 0.04032658144072017, 0.054223398742286155], [0.022978871332161994, 0.05212904152577553, 0.06166645217589698]]"
2,"[[0, 1.0199520587921143, 0.6238186955451965], [0, 1.0164040327072144, 0.5758771896362305], [0, 1.00040864944458, 0.5578213334083557]]","[[0, 0.942622721195221, 0.5616296529769897], [0, 0.9341687560081482, 0.5111610293388367], [0, 0.9154220819473267, 0.504578173160553]]","[[0.05071415573065873, 0.011186872036239756, 0.01959455637816338], [0.04356794801018188, 0.00983767529203789, 0.01681322480629867], [0.030391051215521558, 0.0065849305275790335, 0.01061475908137618]]","[[0.03345184111181306, 0.02017048359347545, 0.03765764631096912], [0.03619649036174993, 0.029053343609139696, 0.04655189609744519], [0.03749285600930539, 0.0410345536448786, 0.05895918445744739]]"
3,"[[0, 0.632397472858429, 1.0027127265930176], [0, 0.6257262825965881, 0.9917910099029541], [0, 0.5800895094871521, 0.9390003681182861]]","[[0, 0.5908516049385071, 0.9435099363327026], [0, 0.5816527009010315, 0.9204873442649841], [0, 0.555896520614624, 0.87844318151474]]","[[0.05657584119659257, 0.01956991152963135, 0.009392236979923198], [0.05935631267997095, 0.018553436371021314, 0.011436170869369211], [0.03299025257850079, 0.01088659410991784, 0.006247955332966172]]","[[0.03620685416602123, 0.032391372464184186, 0.01928554503193955], [0.03616988662109834, 0.03313735650115106, 0.026913019248552723], [0.034946918789500715, 0.04251160527292224, 0.04276022852693983]]"
4,"[[1.086739182472229, 0, 0], [1.0715035200119019, 0, 0], [1.0167608261108398, 0, 0]]","[[0.8750951886177063, 0, 0], [0.8798986077308655, 0, 0], [0.9297497272491455, 0, 0]]","[[0.012018763539884899, 0.013252647423834385, 0.012929358411399788], [0.017573348255963614, 0.01180561602518893, 0.013311881033830778], [0.005524183777867836, 0.01216210241372637, 0.015197248931777135]]","[[0.0237992330902621, 0.05159742983202934, 0.06739880461497419], [0.024563651186826154, 0.047033353978196475, 0.060048643439410535], [0.024286530704632717, 0.05395955110530521, 0.06486303465621104]]"
5,"[[0, 0.9872218370437622, 0.5569842457771301], [0, 0.9790822267532349, 0.5758606791496277], [0, 0.965893566608429, 0.5631459951400757]]","[[0, 0.9143192768096924, 0.5024551153182983], [0, 0.9131855368614197, 0.5102187395095825], [0, 0.9204912185668945, 0.5096374750137329]]","[[0.030040945374786205, 0.005950199950590204, 0.008813172556289727], [0.04632927548803153, 0.012974125105204, 0.012414018987451267], [0.0302417553922055, 0.00591929086909759, 0.009288493201493869]]","[[0.03942741949119812, 0.044942391567025536, 0.05875646314373575], [0.03920155870134009, 0.038135665695357736, 0.05367879256054859], [0.0380406907137876, 0.04338885487332032, 0.05792872172888805]]"
6,"[[0, 0.5806718468666077, 0.9311166405677795], [0, 0.5987920165061951, 0.9484245777130127], [0, 0.581454873085022, 0.9273934960365295]]","[[0, 0.5567650198936462, 0.8785971999168396], [0, 0.5671194195747375, 0.8902641534805298], [0, 0.5573791265487671, 0.8790426850318909]]","[[0.033475731546414624, 0.009991214151231722, 0.006716416163174168], [0.0503529588266841, 0.014319437342057779, 0.0090831512825539], [0.03559301720782801, 0.009608866291352899, 0.006871932832702834]]","[[0.03514302043575672, 0.04091785074273964, 0.04713579687060181], [0.03884856526353347, 0.04116302612013053, 0.04068122168162222], [0.03787021657251219, 0.0412255529087276, 0.045920633854840597]]"
7,"[[1.0176478624343872, 0, 0], [1.0504629611968994, 0, 0], [1.0170751810073853, 0, 0]]","[[0.9188058376312256, 0, 0], [0.8891186118125916, 0, 0], [0.9233802556991577, 0, 0]]","[[0.006216254059591167, 0.01096826885623262, 0.010423468041571661], [0.018923249481273084, 0.012751874257783073, 0.012695872272910929], [0.006510510113765041, 0.009777398520644943, 0.01091688903102477]]","[[0.022812694715447814, 0.05053644494429015, 0.06568329383912119], [0.024270824067195936, 0.050133362641868746, 0.06126191325146241], [0.023484546768907013, 0.049116994531022556, 0.06633448414351609]]"
8,"[[0, 0.965893566608429, 0.5631310939788818], [0, 0.975698709487915, 0.5762536525726318], [0, 0.965893566608429, 0.5631360411643982]]","[[0, 0.9203622341156006, 0.5095993876457214], [0, 0.9136124849319458, 0.5103661417961121], [0, 0.9204058051109314, 0.5096126198768616]]","[[0.031376156989380316, 0.005392858841400947, 0.008753027482037276], [0.04594069754868182, 0.011796625855311417, 0.013434830508449784], [0.03140176869314572, 0.0061926676006202, 0.00858872142153021]]","[[0.03983203705774214, 0.04388320110187681, 0.05816470638299535], [0.03808125923669591, 0.04118264596819208, 0.056004875415892615], [0.038985101312744776, 0.04230046876125656, 0.057038323481200075]]"
9,"[[0, 0.5814566612243652, 0.9273934960365295], [0, 0.5988426208496094, 0.9484344720840454], [0, 0.581454873085022, 0.9273918867111206]]","[[0, 0.5573791265487671, 0.8790426850318909], [0, 0.5671921372413635, 0.8903188109397888], [0, 0.5573791265487671, 0.8790426850318909]]","[[0.03491513837462771, 0.009446652026077083, 0.005915613901132048], [0.050611183787312594, 0.014566016441894907, 0.010040826173685161], [0.03724066583189532, 0.009077523306401448, 0.0067639008358199365]]","[[0.035315091471610216, 0.04453708918450706, 0.045482509456627865], [0.03727808100113934, 0.041054018897145376, 0.043595017198349906], [0.03442829547438573, 0.044287035144013526, 0.04694698044528429]]"
10,"[[1.0170751810073853, 0, 0], [1.050469160079956, 0, 0], [1.0170658826828003, 0, 0]]","[[0.9233863949775696, 0, 0], [0.8891279101371765, 0, 0], [0.9233802556991577, 0, 0]]","[[0.006325096854034324, 0.010178514513463256, 0.01154049308803413], [0.01974011099795142, 0.012250557583481616, 0.01156991054925688], [0.0055062387422916675, 0.010709039329429527, 0.012282334750235744]]","[[0.024195837023551152, 0.05323480283727928, 0.06826878547750809], [0.024957216007302482, 0.049181231616174916, 0.05980748965052475], [0.023355971457537726, 0.050540815213472735, 0.062258798453152915]]"
11,"[[0, 0.965893566608429, 0.5631377100944519], [0, 0.975698709487915, 0.5762503147125244], [0, 0.965893566608429, 0.5631377100944519]]","[[0, 0.9204076528549194, 0.5096126198768616], [0, 0.9136124849319458, 0.5103611946105957], [0, 0.9204058051109314, 0.5096126198768616]]","[[0.028630031954561538, 0.006452483168937379, 0.008889629424542782], [0.04536026345387781, 0.011973550714826075, 0.009998519449362427], [0.03218305037392739, 0.006271075018321789, 0.009063689229406244]]","[[0.039166366442864184, 0.045119606207032904, 0.05971430468255901], [0.03837224307785524, 0.04425321197452284, 0.053625843115821054], [0.0362851690756325, 0.0491394182212332, 0.05761053595865453]]"
12,"[[0, 0.5814566612243652, 0.9273918867111206], [0, 0.5988480448722839, 0.9484311938285828], [0, 0.5814566612243652, 0.9273918867111206]]","[[0, 0.5573791265487671, 0.8790426850318909], [0, 0.5671921372413635, 0.8903188109397888], [0, 0.5573791265487671, 0.8790426850318909]]","[[0.0314022483397671, 0.00934989692002308, 0.006852178609371756], [0.05073542809248559, 0.01566646719122114, 0.007717991794993111], [0.033823102382528225, 0.009727533389118295, 0.0069399088345167646]]","[[0.03719895016102013, 0.044519662082790304, 0.04640748866228417], [0.03752458798220567, 0.03657788184172281, 0.03995023802326048], [0.03616239918708046, 0.04654904566659633, 0.04880410840461132]]"
13,"[[1.0170689821243286, 0, 0], [1.050469160079956, 0, 0], [1.0170751810073853, 0, 0]]","[[0.9233802556991577, 0, 0], [0.8891279101371765, 0, 0], [0.9233863949775696, 0, 0]]","[[0.00629761517760619, 0.01030212995661421, 0.01149578898300279], [0.018930183901380022, 0.012152189442133659, 0.013120809690020128], [0.006796831534941667, 0.011681067821459085, 0.012197920877206968]]","[[0.02248350116609425, 0.04921323900146869, 0.06721432709230378], [0.025480112774005324, 0.0491546786195439, 0.06206533914540094], [0.023184742543736335, 0.05191567595273967, 0.06260320003163394]]"
14,"[[0, 0.9658917784690857, 0.5631360411643982], [0, 0.975698709487915, 0.5762487053871155], [0, 0.9658917784690857, 0.5631360411643982]]","[[0, 0.9204040169715881, 0.5096126198768616], [0, 0.9136124849319458, 0.5103611946105957], [0, 0.9204040169715881, 0.5096126198768616]]","[[0.030527808888856433, 0.00597772852822728, 0.0077975557244328525], [0.04674238212636257, 0.010644276152520359, 0.0108423643781634], [0.030333529606423326, 0.006246382886385203, 0.009310096769448072]]","[[0.038263338115149426, 0.041134607658597305, 0.061597768638310166], [0.037142691022102846, 0.041964344547157445, 0.05351040229160748], [0.04003363081186831, 0.04385893798486157, 0.05962230956674248]]"
