epoch,train_likelihoods,test_likelihoods,decodingST,decodingTS
0,"[[1.0, 0, 0], [0, 1.0, 0.5007278323173523], [0, 0.6344354152679443, 1.0]]","[[1.0, 0, 0], [0, 1.0, 0.6938000321388245], [0, 0.5999833345413208, 1.0]]","[[0.007360651775946813, 0.039315149498115376, 0.02814255971144815], [0.09719796926673709, 0.011266488191937159, 0.03932583957735013], [0.08764716465179996, 0.05351002532791172, 0.01524217954809584]]","[[0.006618645775740849, 0.04478534093012767, 0.04152024865569893], [0.05039384220035919, 0.012049505982016262, 0.051478551286519326], [0.05492463758762214, 0.05048359982564286, 0.018332900530157802]]"
1,"[[5.6957244873046875, 0, 0], [5.936553955078125, 0, 0], [5.841637134552002, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0.03722467743765055, 0.09479341311342974, 0.10602089946450116], [0.03826368460562355, 0.04766169122426418, 0.020661309950447855], [0.04597194028073578, 0.017520553633695285, 0.021394067047595347]]","[[0.05306310325170997, 0.08825528784455827, 0.11881423274011324], [0.053536930696894296, 0.07039408260038943, 0.08116892109570069], [0.04612468275690156, 0.06266865351159288, 0.08083147035969056]]"
2,"[[0, 2.144062042236328, 0.485172837972641], [0, 1.5483691692352295, 0.5908165574073792], [0, 1.8040322065353394, 0.4133186340332031]]","[[0, 0.02181955613195896, 0], [0, 0.6175290942192078, 0.3713114261627197], [0, 0.46302247047424316, 0.24410998821258545]]","[[0.06097490771216383, 0.03015907776932255, 0.027896441406010646], [0.03732014886461109, 0.009904294165323143, 0.01365378958203897], [0.02598858862872865, 0.013951274788799964, 0.007773453991373049]]","[[0.04620662304231801, 0.0878472760437582, 0.08694145169651299], [0.06024723780842466, 0.05916761250830817, 0.08418827731143091], [0.05072823116021565, 0.06449855076799775, 0.08818201555937552]]"
3,"[[0, 0.6081599593162537, 1.432930827140808], [0, 0.7006565928459167, 1.1184712648391724], [0, 0.5494234561920166, 1.2021472454071045]]","[[0, 0, 0.32316774129867554], [0, 0, 0.4155300557613373], [0, 0.08819831162691116, 0.5539593696594238]]","[[0.031243039404884546, 0.02628404381858949, 0.022934517908722047], [0.051111027654776375, 0.016234441738660534, 0.025285432857746145], [0.021679039424558354, 0.008772464751727336, 0.006900626813756304]]","[[0.050347314491481464, 0.07813067612432723, 0.0826105307839525], [0.058075993765471796, 0.06505835874952277, 0.07012580488259791], [0.06143253776928412, 0.07950924074956225, 0.0850886430269256]]"
4,"[[2.086989641189575, 0, 0], [2.105090856552124, 0, 0], [1.5091780424118042, 0, 0]]","[[0, 0, 0], [0.09156044572591782, 0, 0], [0.20589564740657806, 0, 0]]","[[0.01801891183833481, 0.012261616249877, 0.012256322604543186], [0.012125672575278173, 0.003670189655521809, 0.0046290138361576305], [0.015035237791748755, 0.00566849678690399, 0.00551858894740554]]","[[0.04787900944026105, 0.06283270486273264, 0.08537366934357647], [0.0458386905143708, 0.0683359369548802, 0.09792915105955671], [0.0487126503337709, 0.08256487676308942, 0.08768466884785488]]"
5,"[[0, 1.1635890007019043, 0.5131074786186218], [0, 1.0836083889007568, 0.4655406177043915], [0, 0.9887140393257141, 0.47393500804901123]]","[[0, 0.5293756127357483, 0.25989672541618347], [0, 0.6224839091300964, 0.37729740142822266], [0, 0.6403840184211731, 0.39064526557922363]]","[[0.03319904263698325, 0.008796431316736715, 0.009545927226434934], [0.019906128596841613, 0.0019492108455824394, 0.0032674124880244597], [0.02104694367958903, 0.0027899610066581836, 0.00701082258610492]]","[[0.0578768001223897, 0.07883305413066637, 0.08613235865598502], [0.052065827651527875, 0.07387556187142388, 0.07838305561498156], [0.041411582207915486, 0.06171462315634822, 0.08576086165260495]]"
6,"[[0, 0.571664035320282, 1.0478768348693848], [0, 0.5851320624351501, 0.8759778141975403], [0, 0.5851342678070068, 0.8759778141975403]]","[[0, 0.07404260337352753, 0.5410898327827454], [0, 0.13931341469287872, 0.6005322337150574], [0, 0.13931767642498016, 0.6005381941795349]]","[[0.01630649051791395, 0.003376027423086253, 0.003914066013381371], [0.023942307607234165, 0.008605565002197004, 0.005611917896066681], [0.026410513784257697, 0.014307189219115196, 0.002410884669082421]]","[[0.06586061358694748, 0.07723663222353927, 0.07927299332226707], [0.053647430340129754, 0.07585973613074753, 0.08370386244192607], [0.05794284318046154, 0.0676246797904511, 0.07669946478905336]]"
7,"[[1.8590950965881348, 0, 0], [1.5088647603988647, 0, 0], [1.5088564157485962, 0, 0]]","[[0.24284027516841888, 0, 0], [0.2047617882490158, 0, 0], [0.20475713908672333, 0, 0]]","[[0.010797434730001925, 0.002941268334611126, 0.005135253220519066], [0.01454741894444102, 0.0076950320680977255, 0.006873304109691934], [0.010915488275657978, 0.0027755410957600144, 0.00348037439933353]]","[[0.03811951311267477, 0.06220878700501815, 0.09082425868677198], [0.042871734424878724, 0.06052341410512838, 0.0946769212071828], [0.05198809173852902, 0.062035233010211036, 0.0814741520594904]]"
8,"[[0, 0.9887140393257141, 0.47393301129341125], [0, 0.9887140393257141, 0.47393500804901123], [0, 0.9887140393257141, 0.47393500804901123]]","[[0, 0.6403840184211731, 0.3906472325325012], [0, 0.6403840184211731, 0.3906472325325012], [0, 0.640386164188385, 0.3906472325325012]]","[[0.014749763228499522, 0.003763001063520551, 0.0078026165199718235], [0.02041396902846066, 0.008969294882489591, 0.005399266027378445], [0.018298250852894427, 0.0038751908144501, 0.003604649247836252]]","[[0.05385256601329691, 0.06295233580733048, 0.09424408319559166], [0.05601110614497712, 0.06985237195809786, 0.07981553495798385], [0.05066361059345737, 0.07393215397970264, 0.0857867934444011]]"
9,"[[0, 0.5851297974586487, 0.8759757876396179], [0, 0.5851342678070068, 0.8759778141975403], [0, 0.5851320624351501, 0.8759778141975403]]","[[0, 0.13931341469287872, 0.6005302667617798], [0, 0.13931767642498016, 0.6005381941795349], [0, 0.13931341469287872, 0.6005322337150574]]","[[0.02331466428251925, 0.010814555093053515, 0.005947537181802507], [0.014620322002587335, 0.0032598158640024895, 0.0019464828141105225], [0.01796217602958399, 0.00748528716719299, 0.0019153968338995384]]","[[0.051565109299843453, 0.09539045129070295, 0.09114874006380427], [0.060398562482695275, 0.08096970575081884, 0.08929129253637681], [0.051170520332773306, 0.08303241703433008, 0.08824816425323737]]"
