epoch,likelihood,decodingST,decodingTS
0,"[[-73509.546875, -3270.548583984375, -21652.421875], [-33143.90625, -703.7282104492188, -6152.78173828125], [-79973.4921875, -3556.32080078125, -25038.900390625], [-74149.328125, -2792.97265625, -19004.244140625], [-87695.3984375, -3061.146728515625, -22849.41796875]]","[[0.08325835626936241, 0.00969109689103653, 0.06063465134824656], [0.004015310581632837, 9.000025419571736e-08, 9.000022977462086e-08], [0.08079771750964848, 0.004616779608014715, 0.05774744240548307], [0.06104752351717588, 9.000020371733703e-08, 0.016451322567523956], [0.011592290622626678, 9.000015810665409e-08, 0.0009875228660099482]]","[[0.09005931872802422, 0.1965988027678233, 0.14127445620961815], [0.10452294934668817, 0.27263978135100875, 0.17323944553066492], [0.09451585793622926, 0.22072538416931767, 0.15596242748274117], [0.10157427688403063, 0.27257441117468584, 0.17159979827664987], [0.10376828650364474, 0.2728436081204434, 0.17507154839313863]]"
1,"[[-56988.17578125, -2478.03271484375, -16668.11328125], [-27200.74609375, -519.6519165039062, -5076.10546875], [-56725.8828125, -2424.132080078125, -17345.564453125], [-44941.05859375, -1438.426025390625, -10445.587890625], [-64793.01953125, -2163.468017578125, -16742.921875]]","[[0.08296762942363803, 0.00921395774866441, 0.05558268771783793], [0.014904033912622478, 9.000032149903021e-08, 0.0002724971156512345], [0.07949782154722368, 0.018745264790440433, 0.05983880707591374], [0.04607553073092113, 9.000026644539585e-08, 0.006889278116706707], [0.008226866603349675, 9.000027689080891e-08, 0.0003805890520287842]]","[[0.08788342803908372, 0.1509244985281595, 0.13766811922406522], [0.10399723980471982, 0.27236974585223883, 0.17452286093485972], [0.09077510348710223, 0.21487709565229773, 0.15196492086369126], [0.10221826157467798, 0.2726649770605484, 0.17302850899600677], [0.10256221430721436, 0.2725088581636866, 0.17300940006323537]]"
2,"[[-48966.9375, -2050.53466796875, -14236.9296875], [-23839.6953125, -413.4260559082031, -4494.46533203125], [-46814.515625, -1919.0057373046875, -13752.8125], [-30593.65625, -770.3480224609375, -6481.18359375], [-55847.4765625, -1854.776123046875, -14485.205078125]]","[[0.08142320309602179, 0.00905013176313242, 0.05140072600757575], [0.029279702296097446, 9.00002673404447e-08, 0.0038505430701750807], [0.0799022413056202, 0.01862849579953435, 0.061114537444736695], [0.0349317406780334, 9.000017878552064e-08, 0.004337492263176418], [0.0074448075251362265, 9.000017636281553e-08, 0.0003912810094576603]]","[[0.08880956281037447, 0.17028883100136005, 0.13998435425492767], [0.10363103209811943, 0.272776022855087, 0.17452484286281789], [0.09067378757641326, 0.20939000998901294, 0.14998741170885768], [0.10245386687268283, 0.2727075996733357, 0.17465534223595428], [0.10281126699135938, 0.2725561922642487, 0.1740194962823991]]"
3,"[[-43991.48828125, -1800.744384765625, -12796.822265625], [-21322.07421875, -358.036865234375, -4085.463623046875], [-41218.12890625, -1644.630126953125, -11836.9208984375], [-24772.302734375, -558.29296875, -5185.48486328125], [-52520.21484375, -1759.0596923828125, -13669.9296875]]","[[0.07820216986109897, 0.0017423228796613227, 0.04988851358671165], [0.03942286708965057, 9.000018774710864e-08, 0.009303686106845139], [0.07905731642221468, 0.018786251736943264, 0.06112084778565262], [0.0330698267870176, 9.000030112940368e-08, 0.005264024171415737], [0.013433695552616939, 9.00002633408129e-08, 0.0009322500129533335]]","[[0.08949606696463633, 0.17766549418002972, 0.1424768181822117], [0.10420582235006705, 0.2724325482116713, 0.17105544965892017], [0.09126088053078231, 0.19205407704376345, 0.15223334034068403], [0.10187286214118527, 0.27267901446259235, 0.17409447730765648], [0.10390288318131419, 0.2726360345082267, 0.17620717452706058]]"
4,"[[-39942.66015625, -1613.577880859375, -11621.623046875], [-19664.353515625, -321.5133361816406, -3856.3828125], [-37006.890625, -1428.89599609375, -10447.052734375], [-22528.951171875, -496.15130615234375, -4747.20654296875], [-50033.96875, -1707.4940185546875, -13194.9833984375]]","[[0.07493090594300685, 0.0068421216098537956, 0.04935837567108495], [0.04464025298907873, 9.000023785943741e-08, 0.01362807697288614], [0.07834133995500718, 0.017226354116698192, 0.05984795823517697], [0.037928501909450366, 9.000022228852639e-08, 0.007344090564999157], [0.02957578880682099, 9.000024106606549e-08, 0.0056840335126046885]]","[[0.09221144188769079, 0.1831747435674859, 0.1450315396184695], [0.1042570040885452, 0.2728435849664946, 0.169590342999109], [0.09176903149953433, 0.2068222594126381, 0.15765224128621388], [0.10204275722439053, 0.27293462574759936, 0.17374983956816412], [0.10399941958715829, 0.27276861402681724, 0.173452083824216]]"
5,"[[-36431.2421875, -1456.053955078125, -10576.4384765625], [-18490.890625, -292.5796203613281, -3630.56787109375], [-34083.65234375, -1281.264892578125, -9494.6220703125], [-21189.24609375, -452.33221435546875, -4447.42724609375], [-47566.97265625, -1669.952880859375, -12779.734375]]","[[0.07070710214810104, 0.018618569758670905, 0.05000945339193957], [0.04912335751810284, 9.000024556368556e-08, 0.015652363032474238], [0.07822966557256789, 0.014617103172545122, 0.057618461777444625], [0.045074408574580886, 9.000014224029959e-08, 0.011688591275647862], [0.049041490693327555, 9.000024870902167e-08, 0.0245196161258]]","[[0.09283249923441858, 0.20144221155088016, 0.1507424187779104], [0.10384954209542152, 0.27253551085816297, 0.16721850453614573], [0.093527941514116, 0.21162185758697327, 0.1593298135524129], [0.10221302414750975, 0.272761242026234, 0.17259904274128526], [0.10310926306327046, 0.27281703597191226, 0.17251978130436257]]"
6,"[[-33153.640625, -1298.69677734375, -9555.537109375], [-17383.361328125, -255.4847869873047, -3326.939208984375], [-31863.427734375, -1151.391845703125, -8694.31640625], [-20085.669921875, -422.8280029296875, -4217.44921875], [-45407.24609375, -1638.169677734375, -12299.9404296875]]","[[0.06433018504304891, 0.017692345051552726, 0.047520399416199684], [0.0500565747884044, 9.000027122230393e-08, 0.017260999209783422], [0.07556047977065183, 0.010097907155297037, 0.05368443925771731], [0.051306428251135905, 9.000024114589505e-08, 0.017618044149976014], [0.06007748127995129, 0.002297017143616796, 0.04897506365477369]]","[[0.09487062945957714, 0.22389160709909886, 0.15607033301859266], [0.10397090749037431, 0.27278357664052655, 0.17005127062447492], [0.09374855790748993, 0.21993498851036852, 0.1617834205766494], [0.10515565045928502, 0.27281398627610576, 0.17262393196257697], [0.10462428674593044, 0.272312780057372, 0.17499077862298326]]"
7,"[[-30085.12109375, -1108.466796875, -8516.4765625], [-16416.984375, -222.21722412109375, -3082.8203125], [-30012.453125, -1037.6151123046875, -7994.35595703125], [-19170.681640625, -401.81158447265625, -4037.125732421875], [-43411.2578125, -1545.28564453125, -11715.8056640625]]","[[0.0534527588249254, 0.0018975273652416997, 0.037775974835891436], [0.04941528873181044, 9.00002659294521e-08, 0.017936648321311283], [0.07405785419880491, 0.00836327982840031, 0.048887340649276655], [0.05707146398040415, 9.000027763453778e-08, 0.02412053434656203], [0.06696298570040468, 0.0414784474792932, 0.0653439367793542]]","[[0.09849654561987271, 0.2714816343322673, 0.16122913085067728], [0.1024795143607906, 0.27260058766144474, 0.17119379808171944], [0.09559674434888962, 0.22462963791431217, 0.16462735028796188], [0.10284830322550464, 0.27258992877021065, 0.17188799424564125], [0.10370097807349489, 0.236211473264796, 0.17422753335500168]]"
8,"[[-27302.416015625, -934.7179565429688, -7510.33837890625], [-15540.8154296875, -192.76174926757812, -2875.0380859375], [-28513.744140625, -940.8072509765625, -7410.25390625], [-18316.71484375, -384.7804260253906, -3871.15576171875], [-41747.95703125, -1377.9500732421875, -11117.986328125]]","[[0.04064365638535215, 9.00002422358921e-08, 0.024340910720399057], [0.048346087080008766, 9.000023837564583e-08, 0.01776124265306102], [0.07333634096730172, 0.009459881570722199, 0.045209398746189254], [0.06471017440424268, 9.000026063192937e-08, 0.028770589204679464], [0.06888414790971986, 0.015306878329323075, 0.06610049516950889]]","[[0.09933917568314891, 0.2729819529227853, 0.16650269601630954], [0.1040021639173629, 0.27264789712440923, 0.17246442984566107], [0.0954881827921081, 0.23612062794037883, 0.1662171755743701], [0.10191339744317893, 0.27282170168694314, 0.1737931917465944], [0.10386575503307571, 0.261616916788398, 0.17393719371501964]]"
9,"[[-24929.099609375, -798.771240234375, -6642.02880859375], [-14784.73046875, -167.5865478515625, -2735.845703125], [-27282.25, -849.4544677734375, -6897.94091796875], [-17516.59375, -372.71356201171875, -3734.984619140625], [-40373.15625, -1272.50390625, -10650.91015625]]","[[0.030281717887481303, 9.000024622755959e-08, 0.01384423638692512], [0.047140755464217206, 9.000026922059621e-08, 0.015824712347965706], [0.06842625645715583, 0.0016178998516482423, 0.031076080462678693], [0.06935084492309654, 9.000002706785359e-08, 0.03396621839900821], [0.06846267962374956, 0.0048270111864612796, 0.06071652318280564]]","[[0.09731566559517738, 0.27286418790513406, 0.16829462269683051], [0.10323000896079042, 0.2725407025202171, 0.17156549306349558], [0.09716055920925043, 0.2716854262477526, 0.16977579516458413], [0.10196017580584883, 0.27275166086738845, 0.17169406206776808], [0.10446324810892367, 0.27033003062093763, 0.1747198203838345]]"
