epoch,likelihood,decodingST,decodingTS
0,"[[-71119.5078125, -52126.140625, -15032.6572265625], [-126525.5546875, -94293.109375, -34923.06640625], [-154491.109375, -112481.1171875, -39929.48828125], [-133849.890625, -99336.6484375, -37030.16015625], [-205358.484375, -144782.703125, -50265.6640625]]","[[0.04758445349914522, 0.05175678432360725, 0.026300200673202805], [0.09088533349777742, 0.09364934769615987, 0.08384705128421918], [0.07525181543633305, 0.08061886899208309, 0.07281996039687264], [0.059797721064840756, 0.06733988928869038, 0.03754180803412442], [0.1196962872227242, 0.11786504674974257, 0.08963524186153954]]","[[0.13390953267113492, 0.16991597913840722, 0.2397320047818804], [0.1290030113661343, 0.15331749701277858, 0.23295980922491813], [0.12486107490422672, 0.1678860990705219, 0.23331392915001303], [0.13117557176281097, 0.15831833936744868, 0.23819624962626135], [0.109609476430116, 0.13823320842954706, 0.20745978285089606]]"
1,"[[-61.86495590209961, -56.25022506713867, -7.018344402313232], [-117.4925308227539, -105.74311828613281, -18.565828323364258], [-63.7697639465332, -56.920013427734375, -10.079242706298828], [-242.20372009277344, -211.2437286376953, -33.42074203491211], [-463.551025390625, -359.4838562011719, -63.00106430053711]]","[[2.0008549543486907e-05, 8.901238648962988e-08, 3.271484834559787e-05], [8.889360265077616e-08, 8.889031257753558e-08, 8.889073153140435e-08], [8.889326635437451e-08, 8.890327994859503e-08, 8.889046429392907e-08], [8.889214554747864e-08, 8.890263806214965e-08, 8.889411275578824e-08], [0.08840465880401703, 0.08220215968881892, 0.06278492671075447]]","[[0.13535819732341986, 0.16334458492208925, 0.23921444709658038], [0.13067216457012035, 0.15508384558885105, 0.24092540191270617], [0.12697512050996293, 0.16440551390455915, 0.2448812982980017], [0.14516775663831435, 0.1716353772560558, 0.24264524293352224], [0.1272332842600303, 0.15622985559298685, 0.23314998044479618]]"
2,"[[-2.5659396648406982, -2.782315969467163, -3.6365301609039307], [-2.5593855381011963, -2.7824387550354004, -3.638514280319214], [-2.5807816982269287, -2.7979650497436523, -3.6440837383270264], [-2.5964910984039307, -2.8189024925231934, -3.6511447429656982], [-8.151158332824707, -7.1359357833862305, -3.8265583515167236]]","[[8.90806598805644e-08, 2.4067708171279022e-05, 6.20952355834627e-05], [8.889011828790023e-08, 8.88898727710795e-08, 8.891291283744551e-08], [8.888982140930985e-08, 8.890842923388979e-08, 8.889169886639712e-08], [2.0518493042614422e-05, 8.890727027560377e-08, 8.889276791517115e-08], [0.04673135499761511, 0.04835156390136435, 0.0338647426441834]]","[[0.12841455294219073, 0.16536501762149983, 0.23601087351967245], [0.1338049954486959, 0.16085259977074773, 0.24048122598013302], [0.13726239311801514, 0.16899852905898, 0.24231923114385723], [0.13630986779734802, 0.15701664191305226, 0.2445378398264255], [0.12136917734839868, 0.147091997080888, 0.21021209636100613]]"
3,"[[-2.5284106731414795, -2.7598531246185303, -3.630194664001465], [-2.531099319458008, -2.7601277828216553, -3.6298327445983887], [-2.5249688625335693, -2.7563650608062744, -3.6302106380462646], [-2.530117988586426, -2.7609763145446777, -3.63086199760437], [-8.716821670532227, -7.66412878036499, -3.780123233795166]]","[[8.889517734146759e-08, 8.889448145973112e-08, 8.890874053018324e-08], [8.889342291249865e-08, 8.889685942517329e-08, 8.890016857125577e-08], [8.889439042184394e-08, 8.889266048471467e-08, 8.889220480716964e-08], [8.889537202224076e-08, 8.890812265511896e-08, 8.8897324357916e-08], [0.03521994948875626, 0.035799243877027535, 0.02653197608973767]]","[[0.12892087148667145, 0.1694710136387894, 0.23895437359163926], [0.12919338821107965, 0.16952339570545105, 0.24433404600754613], [0.13594720071580516, 0.1643453765065495, 0.24548852218770553], [0.1296751814734626, 0.16235902429887247, 0.24848016702783673], [0.0935714233766617, 0.1205359385178689, 0.1522528539331056]]"
4,"[[-2.524195909500122, -2.7591466903686523, -3.631082534790039], [-2.5263335704803467, -2.757827043533325, -3.6296370029449463], [-2.5260846614837646, -2.7584547996520996, -3.6299211978912354], [-2.5286054611206055, -2.759293794631958, -3.6298558712005615], [-8.706631660461426, -7.657202243804932, -3.7791152000427246]]","[[8.889370090211247e-08, 8.890373553165629e-08, 8.890009480462605e-08], [8.889848593115055e-08, 8.889989082573945e-08, 8.889547060844654e-08], [8.89013832116834e-08, 8.889250017247712e-08, 8.889700614422247e-08], [8.888975221983324e-08, 8.889240869117097e-08, 8.891705148508576e-08], [0.0370258959941185, 0.03667193731984367, 0.02502560360666986]]","[[0.12819882809160466, 0.16567667803920783, 0.24508511692087334], [0.1344518378813605, 0.1668466491841382, 0.23253552098406235], [0.12807595122032758, 0.16038781979742597, 0.24278787344542863], [0.1309897886398587, 0.16659541573114026, 0.25267113656941126], [0.09314076274241, 0.12506356238425914, 0.1525105283097977]]"
5,"[[-2.5256948471069336, -2.7573659420013428, -3.628906011581421], [-2.525439500808716, -2.7575669288635254, -3.629532814025879], [-2.525667905807495, -2.7575325965881348, -3.6298062801361084], [-2.5224413871765137, -2.752578020095825, -3.6276721954345703], [-8.715476989746094, -7.666694641113281, -3.7781972885131836]]","[[8.889332244896116e-08, 8.891776939363037e-08, 8.890230463442059e-08], [8.889131226348003e-08, 8.890772979643161e-08, 8.889487547627511e-08], [8.889851519591185e-08, 8.889009263557475e-08, 8.889216169348868e-08], [8.88951627600281e-08, 8.889052294837133e-08, 8.889444913709004e-08], [0.036356474797499705, 0.03635924545081415, 0.02604612289339192]]","[[0.12948871038457746, 0.16807117557547624, 0.24317975648105578], [0.12983398562624798, 0.16542503896586544, 0.2444003752172031], [0.12763041805815237, 0.16483313682649234, 0.2376548575876995], [0.1261103470166387, 0.16465256832126937, 0.2398100395647254], [0.09032735110237976, 0.11442288872558223, 0.15089564766181035]]"
6,"[[-2.5242295265197754, -2.756404399871826, -3.629297971725464], [-2.5235774517059326, -2.7600934505462646, -3.631758689880371], [-2.5253050327301025, -2.7568163871765137, -3.6296634674072266], [-2.5265486240386963, -2.757979154586792, -3.6288161277770996], [-8.712230682373047, -7.66357946395874, -3.7781283855438232]]","[[8.889754029706466e-08, 8.889532567649124e-08, 8.889210684559952e-08], [8.889384789243542e-08, 8.889283100143234e-08, 8.890956856207103e-08], [8.889880861870456e-08, 8.890957710406922e-08, 8.889521671833134e-08], [8.889195241677998e-08, 8.889381009668716e-08, 8.889319210159354e-08], [0.03507366997948556, 0.03491572888485299, 0.026004658644759152]]","[[0.13389171171869305, 0.16251863271438924, 0.24709891665599426], [0.13191451415663166, 0.1604355480538678, 0.23523595763673819], [0.13444650406017825, 0.162649492443873, 0.24001567410409377], [0.13374989784994668, 0.16458332603230091, 0.24230348667178755], [0.09323324358185003, 0.12093430973656902, 0.1531638601132636]]"
7,"[[-2.526125192642212, -2.757817268371582, -3.6289448738098145], [-2.5241286754608154, -2.7570714950561523, -3.6296279430389404], [-2.5249016284942627, -2.7581703662872314, -3.6302618980407715], [-2.5285449028015137, -2.753779888153076, -3.6263129711151123], [-8.711820602416992, -7.653356075286865, -3.779099464416504]]","[[8.889841645665167e-08, 8.888994551423269e-08, 8.889554028798817e-08], [8.889197480650594e-08, 8.890055623081762e-08, 8.889250346611217e-08], [8.889138424176172e-08, 8.88987724745075e-08, 8.88940433474306e-08], [8.891410148208127e-08, 8.889873089751507e-08, 8.889286343476059e-08], [0.0364935824788765, 0.03652540396728084, 0.026084254229946018]]","[[0.13487349899542567, 0.1637574633104467, 0.24282380844941742], [0.1276342485800702, 0.16528039303854017, 0.2396649910356758], [0.13326187287866703, 0.1640007652890566, 0.24448560149934748], [0.12979305756963266, 0.16963854269232082, 0.24321871283808794], [0.09535922271726248, 0.11763489844264244, 0.15094415905889083]]"
8,"[[-2.5242159366607666, -2.75907301902771, -3.6309289932250977], [-2.531879186630249, -2.7641944885253906, -3.6309289932250977], [-2.5247671604156494, -2.7572872638702393, -3.6295557022094727], [-2.5254461765289307, -2.7576160430908203, -3.629885673522949], [-8.712903022766113, -7.6620635986328125, -3.778686285018921]]","[[8.890997751574303e-08, 8.88940812241388e-08, 8.889749125413795e-08], [8.889698556647134e-08, 8.88937056543468e-08, 8.889121152223858e-08], [8.890979045611435e-08, 8.889125670696578e-08, 8.88922212730584e-08], [8.89065665654251e-08, 8.889512268527768e-08, 8.889106605621425e-08], [0.036785512176865896, 0.03829831886700375, 0.026635336441719625]]","[[0.13248630448416046, 0.1721214397746856, 0.24563919051369507], [0.1286185250275864, 0.16089431629904177, 0.2382982325425129], [0.1355218192762689, 0.15860164483710026, 0.23853958539617398], [0.13185828061543975, 0.16487914472835194, 0.24341866830899161], [0.0880801286818943, 0.11940406530572861, 0.159830492083846]]"
9,"[[-2.5265955924987793, -2.7581164836883545, -3.6295573711395264], [-2.513998508453369, -2.749134063720703, -3.6283164024353027], [-2.525439500808716, -2.759028911590576, -3.6306447982788086], [-2.523167371749878, -2.7559776306152344, -3.6298415660858154], [-8.708446502685547, -7.659149646759033, -3.7789175510406494]]","[[8.890619634694682e-08, 8.889136621758195e-08, 8.889674074556565e-08], [8.889493331899847e-08, 8.889919126366168e-08, 8.890665077635562e-08], [8.889093598748913e-08, 8.890017777994482e-08, 8.88963680449786e-08], [8.888975367573202e-08, 8.889136564165255e-08, 8.890603398502376e-08], [0.034726888454847164, 0.03622959151788306, 0.025736569072288693]]","[[0.12936315023113085, 0.15623619293722216, 0.23980978407579878], [0.13396527889769239, 0.15691797959656312, 0.23733909736118078], [0.13323571078278063, 0.16700696062339618, 0.23903635249232733], [0.13305119758885953, 0.1642285490590979, 0.2396343445248971], [0.0894207833745697, 0.11487639010634516, 0.1598622509786306]]"
